"","iso_o","pageRank_total.name","pageRank_total.wpr","close_total.name","close_total.closeness","outdegree_total.name","outdegree_total.degree","indegree_total.name","indegree_total.degree","local_clust_tt_total","local_clust_out_total"
"1","ABW",1,0.00197091963245268,1,38147.6220694323,1,707.02950586544,1,613.82838693223,0.993005496835752,0.991658781426581
"2","AFG",2,0.00227144843766777,2,6995.45477068035,2,114.228425133252,2,675.252048284366,0.934147523534767,0.972097072956144
"3","AGO",3,0.00350300064730855,3,59211.1151678063,3,3097.39702872301,3,1410.02753620311,0.963167182678491,0.984705911225415
"4","ALB",4,0.00221342116258118,4,14625.2610277951,4,171.336272286872,4,474.833879001803,0.982474668789726,0.991849808672689
"5","AND",5,0.00172328377212612,5,4840.23727614814,5,49.7512913824948,5,225.282245233436,0.998075356094303,0.987070582254546
"6","ARE",6,0.00825766931825255,6,83685.154807635,6,9692.6372558193,6,7385.00138591747,0.954786406958864,0.938660604411248
"7","ARG",7,0.00376004581625236,7,48228.9370702367,7,4807.96262511641,7,3125.58364196262,0.954739691394928,0.931816342080422
"8","ARM",8,0.00206047957386585,8,7540.89694754608,8,221.882950805462,8,353.292638537588,0.975115859005254,0.976608660730766
"9","ATG",9,0.00212380361034833,9,7613.77780052963,9,94.9406194148559,9,226.048567961301,0.973039386520414,0.977211286911255
"10","AUS",10,0.0103063605494079,10,78356.9736824397,10,9970.93380488965,10,10084.6385239233,0.963556221325066,0.963947437136878
"11","AUT",11,0.00799792589261081,11,95553.5863970289,11,9900.6799650322,11,10025.084590318,0.979958522757766,0.978373290901883
"12","AZE",12,0.00228041115055116,12,25671.0818703648,12,828.431882427506,12,854.598340722296,0.958921955781539,0.953237839210456
"13","BDI",13,0.00188540779775972,13,2602.68276378223,13,49.7429554062539,13,79.1789975324173,0.98006182612706,0.988377963682844
"14","BEL",14,0.0224388095041818,14,107474.990215785,14,21824.7787313488,14,22644.3867952307,0.974298697576811,0.971033014388561
"15","BEN",15,0.00220917715000911,15,6717.68443771156,15,150.586754526148,15,439.171230989473,0.970230285232314,0.931599911102527
