"","country","alpha","out_deg","in_deg","clustering","year","n_nodes","n_edges","density","reciprocity","transitivity","avg_path_length"
"1","ABW",0.5,1.79608204994321,2.150619798298,0.861022141762986,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"2","AFG",0.5,2.2400862394041,0,0.992251065478497,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"3","AGO",0.5,1.02645751311065,1.65483775068341,1,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"4","ALB",0.5,2.92859402353921,4.01970939046132,0.967864022151327,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"5","AND",0.5,2.2610120537864,2.74134018136618,1,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"6","ARE",0.5,6.21447642723094,7.26284548183289,0.887299154033952,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"7","ARG",0.5,6.29338178243397,6.51663210587765,0.923298869840405,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"8","ARM",0.5,3.75821043853481,1.03464101615138,0.924765042147079,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"9","ATG",0.5,1.01414213562373,2.62781528778445,0.683072916666667,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"10","AUS",0.5,13.4535552189613,15.8217133672872,0.8157333832851,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"11","AUT",0.5,12.7513819043946,17.0295761880552,0.833482928027978,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"12","AZE",0.5,3.54011525869251,3.10645590023535,0.859791458860099,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"13","BDI",0.5,1.59141401383979,0,1,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"14","BEN",0.5,2.04398028677852,3.59177306848579,0.83208292201382,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"15","BFA",0.5,3.22792681185495,2.07483314773548,0.736893315018315,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"16","BGD",0.5,1.55598803116067,3.69990014829014,0.786992929850073,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"17","BGR",0.5,6.19369687075116,5.42734861678042,0.800966572513179,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"18","BHR",0.5,3.19366677210118,5.60292507427196,0.883148097118888,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"19","BHS",0.5,7.13784968310837,7.61910751007028,0.879357140506469,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"20","BIH",0.5,2.43312815655415,1.92499727393798,1,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"21","BLR",0.5,3.03613573698345,2.85396471110631,0.842846096569105,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"22","BMU",0.5,3.44090287563951,7.21294321175001,0.940554653146573,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"23","BOL",0.5,3.60437468175416,4.12995575134604,0.861948462020601,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"24","BRA",0.5,8.0322242541866,9.63060977418128,0.872510934422516,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"25","BRB",0.5,4.67345387169004,5.09910255776164,0.702273554996985,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"26","BRN",0.5,2.71463121445443,6.83338562413667,0.941728313077383,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"27","BTN",0.5,1.04358898943541,0,0,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"28","CAF",0.5,1.5818441085155,1.48492424049175,0.691745036572623,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"29","CAN",0.5,17.8373967235704,16.888711379269,0.840813638858401,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"30","CHE",0.5,35.2221545753221,39.0903831031547,0.823925489037511,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"31","CHL",0.5,6.82011380838747,7.28831659975862,0.839221056462699,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"32","CHN",0.5,17.5041365500722,8.37763230680902,0.781963333461666,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"33","CIV",0.5,5.48998960271789,4.14140730860008,0.819677000694622,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"34","CMR",0.5,3.93418480996709,2.61103464268484,0.912188982476523,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"35","COG",0.5,2.23916521486203,2.11916375287813,0.995653073897744,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
"36","COL",0.5,6.77536330288885,6.8971800492608,0.901006595975356,"1995",177,3191,0.102433230611197,0.57286117204638,0.444809659021568,0.0883797819270239
