iso_o,iso_d,contig,comlang_off,colony,comcol,dist,country,landlocked,continent,lat,lon,langoff_1,colonizer1
ABW,FIN,0,0,0,0,9087.5635,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,FJI,0,0,0,0,12692.412,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,FLK,0,0,0,0,7248.1436,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,FRA,0,0,0,0,7685.8838,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,FRO,0,0,0,0,7410.5073,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,FSM,0,0,0,0,14263.712,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GAB,0,0,0,0,8868.9268,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GBR,0,0,0,0,7541.2427,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GEO,0,0,0,0,11056.94,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GHA,0,0,0,0,7697.9443,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GIB,0,1,0,0,6937.0156,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GIN,0,0,0,0,5940.8125,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GLP,0,0,0,0,980.5495,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GMB,0,0,0,0,5785.5024,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GNB,0,0,0,0,5912.7358,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GNQ,0,1,0,0,8721.6025,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GRC,0,0,0,0,9491.1572,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GRD,0,0,0,0,911.34802,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GRL,0,0,0,0,5921.0059,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GTM,0,1,0,0,2220.0676,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GUF,0,0,0,0,2128.7905,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GUY,0,0,0,0,1458.4059,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,HKG,0,0,0,0,16131.13,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,HND,0,1,0,0,1863.0504,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,HRV,0,0,0,0,8716.8682,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,HTI,0,0,0,0,709.38782,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,HUN,0,0,0,0,8927.6357,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,IDN,0,0,0,1,19240.393,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,IND,0,0,0,0,14258.173,Aruba,0,America,12.55,-70.099998,Dutch,NLD
