"","iso_o","pageRank_total.name","pageRank_total.wpr","close_total.name","close_total.closeness","outdegree_total.name","outdegree_total.degree","indegree_total.name","indegree_total.degree","local_clust_tt_total","local_clust_out_total"
"1","ABW",1,0.0017298200410484,1,3346.52870568818,1,89.2195226173896,1,384.037124030964,0.987062828825858,0.956431893105432
"2","AFG",2,0.00268663917544519,2,15541.2334802268,2,261.115389217469,2,1569.02321392229,0.952073566853625,0.988661780406092
"3","AGO",3,0.00293411933724286,3,116683.178953398,3,4236.77780630176,3,1865.28727651449,0.988769059367245,0.994513701613476
"4","ALB",4,0.00220356025796003,4,29753.3657735524,4,448.14450099995,4,816.359539408811,0.98400594038142,0.986479295721643
"5","AND",5,0.00194622462223959,5,2662.89281978841,5,42.6835125609157,5,320.57215926384,0.995326726575529,0.969814374850751
"6","ARE",6,0.0172242074424807,6,124316.94155424,6,20122.5999558439,6,17150.7861334926,0.945781117850565,0.936764195908279
"7","ARG",7,0.00418262421141042,7,78790.5229506015,7,6485.43449683094,7,6233.93089913955,0.966187681654823,0.957494776213884
"8","ARM",8,0.00212233226553331,8,18856.1052149517,8,454.277971961865,8,643.28262199557,0.96807126086161,0.96087265184703
"9","ATG",9,0.00215494151251215,9,6179.72451875988,9,79.3067032348031,9,256.993109015557,0.973677868665924,0.949609325270795
"10","AUS",10,0.0101554937143258,10,175147.86838468,10,19170.8569679547,10,16682.8964757753,0.982608025143821,0.984033633816351
"11","AUT",11,0.00694279003101093,11,141486.412691071,11,12716.5817283659,11,13114.1415163909,0.978686157265645,0.976466558173299
"12","AZE",12,0.00233831192799885,12,63627.3179655531,12,2382.2093463081,12,1309.38038532944,0.979321664728592,0.982325786169699
"13","BDI",13,0.00193034060582262,13,4341.61429624803,13,58.8445244434678,13,170.573294632727,0.982858870153033,0.993120896973461
"14","BEL",14,0.0152651251706788,14,147667.873715028,14,23510.5376166545,14,24661.6485460985,0.97999055451877,0.977859656704653
"15","BEN",15,0.00222460602631185,15,16857.295639195,15,327.854916495582,15,889.039505245001,0.984386833520506,0.97360525387981
"16","BFA",16,0.00234022001277934,16,35341.3898071927,16,565.007084470451,16,643.82436713435,0.976728351107407,0.992154105679913
"17","BGD",17,0.00405820055266913,17,72971.4255569992,17,4382.80556617039,17,5339.55983854347,0.98652776619293,0.98408776000115
"18","BGR",18,0.00360327723592084,18,56228.856931487,18,3188.90991355422,18,3569.88763366294,0.973068058094699,0.963020699483547
"19","BHR",19,0.00274462471612749,19,43958.4528759732,19,1792.78709906365,19,2217.19025560534,0.978354296617052,0.977903319864018
"20","BHS",20,0.00237071402776701,20,16901.776845807,20,283.141235503126,20,1438.45122770206,0.985981121747726,0.966513821194986
"21","BIH",21,0.00247312960439754,21,25411.6541034499,21,912.217903536273,21,1198.4510171009,0.967742636303051,0.970123582700289
"22","BLR",22,0.00313459847516303,22,86267.6687173797,22,3300.11547363513,22,3759.2595495238,0.978019455462214,0.976918136179253
"23","BLZ",23,0.00195025292446709,23,11186.0015222255,23,138.766973349243,23,239.755175562501,0.972452156580019,0.983839634564558
