"","iso_o","pageRank_total.name","pageRank_total.wpr","close_total.name","close_total.closeness","outdegree_total.name","outdegree_total.degree","indegree_total.name","indegree_total.degree","local_clust_tt_total","local_clust_out_total"
"1","ABW",1,0.00181568893038796,1,5487.71105867638,1,122.730460876567,1,547.328806882336,0.98430134639829,0.941002887946745
"2","AFG",2,0.00276188724056523,2,13720.2580495746,2,207.637312511435,2,1425.66726099818,0.932867582784251,0.984916662860196
"3","AGO",3,0.00318328688098867,3,105651.899217047,3,4098.83252632202,3,2589.87525616678,0.988237199292683,0.992726785321751
"4","ALB",4,0.00215293048630131,4,25791.3100698022,4,399.301751019292,4,704.328306266401,0.985793501183548,0.985953002200172
"5","AND",5,0.00187541400035155,5,1959.88263229163,5,30.3501628896064,5,293.690918070454,0.991186910580766,0.940291173769247
"6","ARE",6,0.0179730047285409,6,138824.586612382,6,21179.7388030771,6,18943.1018992189,0.956720972740427,0.948170091599686
"7","ARG",7,0.00406433630505931,7,79270.0085684961,7,6401.08310766541,7,5701.25324078256,0.969533698826592,0.952277173508518
"8","ARM",8,0.00210450267648994,8,10063.9918308744,8,320.030567532813,8,561.7558723801,0.967921424603141,0.959913339005987
"9","ATG",9,0.00214980720023785,9,9658.79920518509,9,132.280538091036,9,319.808941824678,0.972437419536018,0.93525202131386
"10","AUS",10,0.00963481154629525,10,164773.353446063,10,16424.4714324886,10,15394.6356147089,0.982209041095418,0.983445360309473
"11","AUT",11,0.00681976239684167,11,137198.836892553,11,11914.5218843397,11,12009.7684017795,0.979538773123903,0.975755799206198
"12","AZE",12,0.00233933410784665,12,52140.1074102941,12,2334.86466303186,12,1521.4145257343,0.98292410255705,0.979866843607831
"13","BDI",13,0.00187171502219142,13,7680.81719150787,13,80.9890199114953,13,140.558685707675,0.981751309357585,0.980341638713332
"14","BEL",14,0.0149661987354841,14,141257.667995299,14,21905.5199656973,14,22903.977909468,0.980415795378032,0.978897073786912
"15","BEN",15,0.00247767267257699,15,10695.1519194063,15,279.765036646838,15,1159.96742548055,0.974350769777423,0.963306046733666
"16","BFA",16,0.00225091602073148,16,29044.2386854171,16,467.481373810512,16,536.625317247954,0.979016330158868,0.989579577325211
"17","BGD",17,0.00438781725778979,17,71277.5781738574,17,4024.71984192228,17,5007.81506786834,0.982274574683495,0.987084048645014
"18","BGR",18,0.00348074966902893,18,50347.862155317,18,2765.09904051892,18,3172.92110405695,0.970525285642186,0.961519296822053
"19","BHR",19,0.00278588712537451,19,61472.4574623394,19,1809.78360151036,19,2175.28449490335,0.971426444031933,0.96978481348009
"20","BHS",20,0.00284389571062428,20,21190.6973735685,20,449.031642524366,20,1513.59154514895,0.981748655307989,0.960122831584285
"21","BIH",21,0.0024502355393358,21,22958.39899431,21,774.919944584424,21,1094.22830567992,0.968275753541716,0.972363191360679
"22","BLR",22,0.00300409544702563,22,74976.9178140605,22,2935.83240002299,22,3408.13573663661,0.980584183275074,0.979802707680747
"23","BLZ",23,0.00198652382775926,23,6245.66761871361,23,124.813082166187,23,247.112445334127,0.961272031173663,0.961519654649679
"24","BMU",24,0.0020199038023778,24,6701.40271385944,24,125.643480108005,24,645.940098174568,0.988398933107992,0.960396850685876
"25","BOL",25,0.00226698667505747,25,45317.6001883761,25,1409.11401600705,25,1242.33301273664,0.974847512740913,0.980162242140128
