TIME_PERIOD,pageRank_unique.wpr,close_unique.closeness,outdegree_unique.degree,indegree_unique.degree,local_clust_tt_unique,local_clust_out_unique
2000,0.020643686188204696,179.16779026486356,68.60599899517419,82.01133925082348,0.12839831331857673,0.2598785040157549
2001,0.020063764527723706,193.5707292173876,70.01989822782286,79.30792219730021,0.14347553693134016,0.24971827473397654
2002,0.019922651172661697,176.1815917932603,66.05445372237718,78.41850308278671,0.16186758213834948,0.24485720356897656
2003,0.019723239034166236,171.0957097695081,67.49665194270824,78.07232536195848,0.12011064065602099,0.25295541440350744
2004,0.019365064291953137,204.20666999471842,76.33462102826935,86.65838627432656,0.09839809873766991,0.21674672233470946
2005,0.01901806897430581,221.8423118564444,84.70442910703876,92.5131965385652,0.11768479465275687,0.23325780125381176
2006,0.01954890314073711,263.4373654766193,94.01816135562096,103.93669684440263,0.14022319844210776,0.25283642096643016
2007,0.019209051370311175,355.243105479615,120.20703038479078,128.38289868249686,0.12678583610983923,0.25508853736343384
2008,0.018110610143183454,353.9939212105565,117.60500964790882,117.45241893948251,0.1284528437650328,0.2447131882245788
2009,0.018162189727484627,259.1422703092003,90.07494025787017,88.18154781500435,0.11094108388560318,0.2320387740489353
2010,0.01833074994402965,287.3963073407236,102.58050024926298,105.40621275066212,0.11531002357462115,0.22690457148434728
2011,0.018220130696174484,320.24838953296097,112.87702895411982,118.84792969758588,0.11965427885148024,0.22484550515830432
2012,0.01881569274547784,327.5822743815887,122.14924724416217,129.61879734646166,0.10010878737546437,0.17443710775290378
2013,0.018052313463221836,344.66384602210326,121.50625773320678,130.54980825045385,0.12122619274011544,0.15673056407394076
2014,0.01874462419581128,369.15447137621214,131.79701880299658,137.37373263073343,0.09338006988618505,0.15921941228416614
2015,0.01868842765490931,399.4634470388525,146.5115084518744,153.50334370119137,0.09643716807800135,0.15929146979550748
2016,0.018002663434704073,400.681829144816,134.18463296255763,134.10122118121188,0.07834566468578942,0.15979858185923032
2017,0.018470589141134284,404.7422863722888,132.52184610509198,133.50698803933963,0.09654953456302034,0.22649871464433013
2018,0.01862550556982274,455.15156150903357,154.9157513155006,153.5646802753409,0.07133082040010531,0.15969962699524784
2019,0.018042353860568686,489.2939049017424,166.4486500547763,169.4544651997582,0.08279347799327262,0.16191196921998574
2020,0.01713612326925347,313.39611930702534,105.75067608359448,96.28445588073842,0.10601092064377435,0.1678167857274142
2021,0.016276119840129038,368.5081657791556,130.6014304525429,126.16740744539302,0.09288516551901242,0.12697840490284681
2022,0.01707036285400299,462.4377276962085,151.47716591707052,148.8307673296355,0.098346171972331,0.13805925028802601
2023,0.015920425784977623,472.14550651403135,154.63501856125777,151.78302464409336,0.12283170745841435,0.21109354213990364
