country,iso_o,year,gdp_pc,trade_ratio,log_gdp_pc,D_log_gdp_pc,landlocked,continent,lat,lon,langoff_1,colonizer1,category,development
Aruba,ABW,2021,35104.789,139.92,10.466093,0.14561939,0,America,12.55,-70.099998,Dutch,NLD,Emerging and Developing Economies,0.0
Afghanistan,AFG,2021,2144.1699,51.41,7.6705079,-0.25598288,1,Asia,34.516666,69.199997,Persian,,Emerging and Developing Economies,0.0
Angola,AGO,2021,8862.2803,61.529999,9.0895596,-0.011003494,0,Africa,-8.833333,13.25,Portuguese,PRT,Emerging and Developing Economies,0.0
Albania,ALB,2021,18212.869,75.589996,9.8098841,0.1013298,0,Europe,41.333332,19.816668,Albanian,TUR,Emerging and Developing Economies,0.0
Andorra,AND,2021,59332.199,86.016006,10.990908,0.066976547,0,Europe,42.5,1.5,Catalan,,Advanced Economies,1.0
United Arab Emirates,ARE,2021,68580.148,182.91,11.135758,0.026170731,0,Asia,24.466667,54.416668,Arabic,GBR,Emerging and Developing Economies,0.0
Argentina,ARG,2021,26300.27,33.080002,10.177335,0.09665966,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
Armenia,ARM,2021,15921.71,79.25,9.6754389,0.056110382,1,Asia,40.183334,44.5,Armenian,TUR,Emerging and Developing Economies,0.0
Antigua and Barbuda,ATG,2021,25745.5,101.07,10.156015,0.073099136,0,America,17.133333,-61.833332,English,GBR,Emerging and Developing Economies,0.0
Australia,AUS,2021,58327.41,40.200001,10.973827,0.018461227,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
Austria,AUT,2021,62968.941,111.03,11.050397,0.043700218,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
Azerbaijan,AZE,2021,20111.381,76.290001,9.9090414,0.050231934,1,Asia,40.366665,49.883335,Azeri,RUS,Emerging and Developing Economies,0.0
Burundi,BDI,2021,1035.54,86.016006,6.9426785,0.0046172142,1,Africa,-3.3666666,29.316668,French,BEL,Emerging and Developing Economies,0.0
Belgium,BEL,2021,60669.211,177.38,11.013191,0.056550026,0,Europe,50.833332,4.3499999,Dutch,,Advanced Economies,1.0
Benin,BEN,2021,3464.29,48.049999,8.1502628,0.043187141,0,Africa,6.5,2.7833333,French,FRA,Emerging and Developing Economies,0.0
Burkina Faso,BFA,2021,2486.4299,62.419998,7.818603,0.043356419,1,Africa,12.333333,-1.6666666,French,FRA,Emerging and Developing Economies,0.0
Bangladesh,BGD,2021,7441.0698,27.719999,8.9147701,0.058935165,0,Asia,23.700001,90.366669,Bengali,GBR,Emerging and Developing Economies,0.0
Bulgaria,BGR,2021,30959.109,121.21,10.340423,0.082015038,0,Europe,42.666668,23.299999,Bulgarian,TUR,Emerging and Developing Economies,0.0
Bahrain,BHR,2021,54954.68,153.8,10.914264,0.020970345,0,Asia,26.200001,50.633335,Arabic,GBR,Emerging and Developing Economies,0.0
"Bahamas, The",BHS,2021,31064.68,65.93,10.343826,0.1607132,0,America,25.083334,-77.333336,English,GBR,Emerging and Developing Economies,0.0
Bosnia and Herzegovina,BIH,2021,18286.74,96.739998,9.8139315,0.087950706,0,Europe,43.866665,18.433332,Serbo-Croatian,TUR,Emerging and Developing Economies,0.0
Belarus,BLR,2021,27611.18,136.00999,10.225976,0.032378197,0,Europe,53.849998,27.5,Belarussian,RUS,Emerging and Developing Economies,0.0
Belize,BLZ,2021,11716.33,98.980003,9.3687391,0.15389538,0,America,17.216667,-88.800003,English,GBR,Emerging and Developing Economies,0.0
Bermuda,BMU,2021,92319.672,71.410004,11.433013,0.040922165,0,America,32.299999,-64.800003,English,GBR,,1.0
Bolivia,BOL,2021,11202.44,47.669998,9.3238869,0.085380554,1,America,-16.5,-68.166664,Spanish,ESP,Emerging and Developing Economies,0.0
Brazil,BRA,2021,18075.711,37.66,9.8023243,0.042273521,0,America,-15.78,-47.91,Portuguese,PRT,Emerging and Developing Economies,0.0
Barbados,BRB,2021,17682.73,86.016006,9.780344,-0.0025606155,0,America,13.1,-59.616665,English,GBR,Emerging and Developing Economies,0.0
Brunei Darussalam,BRN,2021,78248.797,147.12,11.267649,-0.02563858,0,Asia,4.9333334,114.96667,Malay,GBR,Emerging and Developing Economies,0.0
Bhutan,BTN,2021,13458.81,77.580002,9.5073891,0.036229134,1,Asia,27.533333,89.75,Burmese,,Emerging and Developing Economies,0.0
Botswana,BWA,2021,17960.631,88.760002,9.7959375,0.097668648,1,Africa,-24.75,25.916666,English,GBR,Emerging and Developing Economies,0.0
Central African Republic,CAF,2021,1128.55,44.16,7.0286889,-0.0070815086,1,Africa,4.3833332,18.616667,French,FRA,Emerging and Developing Economies,0.0
Canada,CAN,2021,56995.121,62.25,10.950721,0.05226326,0,America,45.419998,-75.709999,English,GBR,Advanced Economies,1.0
Switzerland,CHE,2021,81001.406,130.02,11.302222,0.046450615,1,Europe,46.950001,7.4333334,German,,Advanced Economies,1.0
Chile,CHL,2021,29089.85,64.879997,10.278145,0.10277843,0,America,-33.5,-70.666664,Spanish,ESP,Emerging and Developing Economies,0.0
China,CHN,2021,20843.301,36.52,9.944788,0.081334114,0,Asia,39.916668,116.43333,Chinese,,Emerging and Developing Economies,0.0
Cote d'Ivoire,CIV,2021,6045.2002,45.110001,8.7070198,0.04350853,0,Africa,5.3166666,-4.0166669,French,FRA,Emerging and Developing Economies,0.0
Cameroon,CMR,2021,4793.5601,36.73,8.475029,0.0062952042,0,Africa,3.8499999,11.516666,French,FRA,Emerging and Developing Economies,0.0
"Congo, Rep.",COG,2021,6263.21,85.550003,8.7424479,-0.013842583,0,Africa,-4.2333331,15.233334,French,FRA,Emerging and Developing Economies,0.0
Colombia,COL,2021,17383.09,40.060001,9.7632532,0.091603279,0,America,4.6333332,-75.066666,Spanish,ESP,Emerging and Developing Economies,0.0
Comoros,COM,2021,3377.8899,42.07,8.1250067,4.196167e-05,0,Africa,-11.666667,43.266666,Arabic,FRA,Emerging and Developing Economies,0.0
Cabo Verde,CPV,2021,7685.4199,77.459999,8.9470806,0.064151764,0,Africa,14.916667,-23.5,Portuguese,PRT,Emerging and Developing Economies,0.0
Costa Rica,CRI,2021,23852.93,70.779999,10.079662,0.071280479,0,America,9.9833336,-84.066666,Spanish,ESP,Emerging and Developing Economies,0.0
Cuba,CUB,2021,24643.188,80.019997,10.112256,0.060428619,0,America,23.116667,-82.416664,Spanish,ESP,,0.0
Cyprus,CYP,2021,47632.77,176.83,10.771276,0.093003273,0,Europe,35.150002,33.349998,Greek,GBR,Advanced Economies,1.0
Czechia,CZE,2021,47796.031,137.38,10.774698,0.057619095,1,Europe,50.099998,14.433333,Czech,AUT,Advanced Economies,1.0
Germany,DEU,2021,62530.77,79.919998,11.043414,0.037931442,0,Europe,52.533001,13.417,German,,Advanced Economies,1.0
Djibouti,DJI,2021,5960.1099,263.48001,8.6928444,0.028700829,0,Africa,11.6,43.150002,French,FRA,Emerging and Developing Economies,0.0
Dominica,DMA,2021,15808.97,86.016006,9.6683331,0.057907104,0,America,15.3,-61.383335,English,GBR,Emerging and Developing Economies,0.0
Denmark,DNK,2021,69715.18,112.32,11.152173,0.058642387,0,Europe,55.666668,12.583333,Danish,,Advanced Economies,1.0
Dominican Republic,DOM,2021,22053.461,51.950001,10.001225,0.12072849,0,America,18.5,-69.783333,Spanish,FRA,Emerging and Developing Economies,0.0
Algeria,DZA,2021,14496.87,46.84,9.5816879,0.021101952,0,Africa,36.833332,3.0,Arabic,FRA,Emerging and Developing Economies,0.0
Ecuador,ECU,2021,13507.44,53.259998,9.5109959,0.082297325,0,America,-0.23333333,-78.5,Spanish,ESP,Emerging and Developing Economies,0.0
"Egypt, Arab Rep.",EGY,2021,15579.02,29.860001,9.6536808,0.017469406,0,Africa,30.049999,31.25,Arabic,GBR,Emerging and Developing Economies,0.0
Eritrea,ERI,2021,24643.188,86.016006,10.112256,0.060428619,0,Africa,15.333333,38.883335,English,GBR,Emerging and Developing Economies,0.0
Spain,ESP,2021,44251.672,66.519997,10.697648,0.062911987,0,Europe,40.416668,-3.7166667,Spanish,,Advanced Economies,1.0
Estonia,EST,2021,44251.539,160.47,10.697645,0.078257561,0,Europe,59.416668,24.75,Estonian,RUS,Advanced Economies,1.0
Ethiopia,ETH,2021,2588.4099,24.35,7.858799,0.02815485,1,Africa,9.0500002,38.833332,Amharic,,Emerging and Developing Economies,0.0
