iso_o,Country,Time,gdp,gdp_pct,population,trade_gdp_ratio,log_gdp,log_trade_gdp_ratio,country,landlocked,continent,lat,lon,langoff_1,colonizer1,category,development,TIME_PERIOD,log_gdp_pct,log_population,D_log_gdp_pct,D_log_gdp,pageRank_unique.wpr,close_unique.closeness,outdegree_unique.degree,indegree_unique.degree,local_clust_tt_unique,local_clust_out_unique,pageRank_repro.wpr,close_repro.closeness,outdegree_repro.degree,indegree_repro.degree,local_clust_tt_repro,local_clust_out_repro,pageRank_total.wpr,close_total.closeness,outdegree_total.degree,indegree_total.degree,local_clust_tt_total,local_clust_out_total
AFG,Afghanistan,2018,18053222687.41,491.34,36743039.0,,23.616590048027312,,Afghanistan,1,Asia,34.516666,69.199997,Persian,,Emerging and Developing Economies,0.0,2018,6.1971364,17.41946,-0.067156792,-0.038053513,0.0012558611730972,150.622945119794,4.05393915812765,1.55808309149043,0.995629825019083,0.996836101920004,0.0041264884546758,229.277279463917,7.03593733897668,185.462689889257,0.977429201219548,0.962418924541695,0.0025840038241692,16372.2306302949,283.658999406233,1604.92658144172,0.954808661468951,0.990698342896743
ALB,Albania,2018,15379508329.76,5365.49,2866376.0,75.69,23.45630183235687,4.326646051321076,Albania,0,Europe,41.333332,19.816668,Albanian,TUR,Emerging and Developing Economies,0.0,2018,8.5877428,14.868559,0.15088177,0.14841461,0.0015798730190809,48.5372298892053,2.77228864311251,2.14736132440788,0.995981239454653,0.990420098603608,0.0018537743802626,3385.63205582171,42.9900306748153,122.818639909506,0.977201708295059,0.975806215930114,0.0022225851522242,32520.2569207674,507.269269480696,902.653409740303,0.985854312581433,0.989331072254759
DZA,Algeria,2018,194554483655.53,4577.21,42505035.0,52.44,25.99397808240044,3.959669658895499,Algeria,0,Africa,36.833332,3.0,Arabic,FRA,Emerging and Developing Economies,0.0,2018,8.4288445,17.565134,0.0049362183,0.02431488,0.0013322211075345,50.9584837816207,2.20905910899809,1.97130442240496,0.934961690468686,0.955923238012709,0.0041433783073048,752.934669761316,22.7380520730779,692.675796031625,0.980136851893056,0.923870006901645,0.0037655255427462,72143.5157252202,5084.76122531992,5273.09769421023,0.989149714606842,0.991640734777574
AND,Andorra,2018,3218419896.96,42819.77,75162.0,,21.8921563608328,,Andorra,0,Europe,42.5,1.5,Catalan,,Advanced Economies,1.0,2018,10.664755,11.227401,0.051435471,0.070224762,0.0018491105685975,36.2391337734492,2.50039489735871,9.97453676477724,0.98299073746362,0.991321582512316,0.0016114399948417,1687.37168610204,19.3623333661973,46.0421886702307,0.981304287299894,0.951459321136329,0.0019063139677323,3575.31798143064,43.7473443749863,340.090410461575,0.996066529674528,0.988046435431725
AGO,Angola,2018,79450688259.37,2538.59,31297155.0,66.38,25.09840239269048,4.195395806291828,Angola,0,Africa,-8.833333,13.25,Portuguese,PRT,Emerging and Developing Economies,0.0,2018,7.8393641,17.259037,0.040734291,0.075267792,0.0020035075527658,38.0399118803105,2.39741328674142,2.9647439572566,0.830347564633233,0.820129687059487,0.0034730377284617,773.735918015529,13.000507466168,242.666146104049,0.960450695671696,0.896828396859046,0.0030799463029135,130675.746664665,4912.26155869844,1791.82315401972,0.987867887018012,0.995355619465033
ATG,Antigua and Barbuda,2018,1661529629.63,18273.43,90926.0,130.66,21.2310044786604,4.872598529412604,Antigua and Barbuda,0,America,17.133333,-61.833332,English,GBR,Emerging and Developing Economies,0.0,2018,9.8132038,11.417801,0.074253082,0.079301834,0.0015994931978664,7.72402593898573,1.67717322338247,2.09752858086913,0.886623711340206,0.837824675324675,0.0020501553816412,263.328901632627,5.39234911141272,20.5701938282485,0.966462475196121,0.953843744258529,0.0021372679283682,6547.24321934414,81.9063798883993,276.624686532397,0.97379338265047,0.940611051270969
ARG,Argentina,2018,524819892360.18,11752.8,44654882.0,30.76,26.98632097850766,3.426215144637444,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0,2018,9.3718472,17.614473,-0.21229553,-0.20406723,0.002254709256369,460.270663189339,18.1084256767575,10.9708456032815,0.985220554696687,0.989203301537385,0.0057941161300058,2466.83510294002,75.706081476735,1156.21374162567,0.97380939295891,0.833620156706993,0.0042025619679329,88482.8371364885,6699.92158834569,6130.77541570817,0.968337048383434,0.959309427038107
ARM,Armenia,2018,12457940694.74,4196.01,2969000.0,92.47,23.24562406335124,4.526884267589547,Armenia,1,Asia,40.183334,44.5,Armenian,TUR,Emerging and Developing Economies,0.0,2018,8.3418894,14.903736,0.081125259,0.077627182,0.0015610873807062,58.2278619615253,2.69375953683749,2.10177239619776,0.985103371672221,0.987878013063388,0.0020742708969012,1042.13571254034,11.5490635330794,107.415912001399,0.98083913207952,0.966724670369376,0.0021256938582653,21442.9451243658,496.657475401883,717.84883400779,0.971554919563795,0.966229967678485
ABW,Aruba,2018,3276184357.54,30082.13,108908.0,145.21,21.909945276549205,4.978180970542646,Aruba,0,America,12.55,-70.099998,Dutch,NLD,Emerging and Developing Economies,0.0,2018,10.311687,11.598259,0.05613327,0.057722092,0.0015196850512273,6.44818603717073,1.19760662136334,2.05683325312923,0.984602710479903,1.0,0.0015427084893987,158.200372380204,7.19674694882214,33.3304886649898,0.967966370243529,0.762921748497168,0.0016926377116083,6443.09699138536,74.5078182912064,311.867724494027,0.993179356147707,0.970872120102344
AUS,Australia,2018,1427809041019.44,57196.42,24963258.0,43.74,27.98716224612768,3.778263015248622,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0,2018,10.954247,17.032915,0.059329033,0.074289322,0.0083985532603613,465.933984633788,42.2704494810585,69.2220740577314,0.853312741817785,0.835769705791835,0.0088475455243504,11311.7772867665,605.078809303496,3208.89308527067,0.942561092343051,0.881130631951242,0.0097220079407068,188500.625251046,20527.8296983078,16995.7939906699,0.983898440214097,0.986406076871585
