"","iso_o","pageRank_total.name","pageRank_total.wpr","close_total.name","close_total.closeness","outdegree_total.name","outdegree_total.degree","indegree_total.name","indegree_total.degree","local_clust_tt_total","local_clust_out_total"
"1","ABW",1,0.00198627791496991,1,28783.1304589917,1,429.541532294624,1,268.694164600035,0.991177469670605,0.988400995125712
"2","AFG",2,0.0025491086227484,2,20111.7206776224,2,294.33704789282,2,1212.01138877539,0.942600625695899,0.941260105581066
"3","AGO",3,0.00381613245394699,3,87535.971289196,3,4728.75940454957,3,2707.5729463756,0.982497939470669,0.994333309551603
"4","ALB",4,0.00239082679049313,4,32273.4644527908,4,561.965155484674,4,741.335916430239,0.963635281279937,0.953573138418942
"5","AND",5,0.00203815550837852,5,4727.34975644429,5,58.8301641393276,5,348.25327609482,0.99256263909441,0.96380957222597
"6","ARE",6,0.0117892334572068,6,107518.503094028,6,13859.8908234803,6,12526.7368683308,0.954984907441405,0.940961987475525
"7","ARG",7,0.00376592370222118,7,65611.5477429141,7,6177.0928102642,7,3994.0961051637,0.960055609050468,0.945961278568491
"8","ARM",8,0.00203626132676831,8,6842.67574254313,8,173.834509247619,8,492.736615865792,0.980620243356079,0.982637144854872
"9","ATG",9,0.00222939606063318,9,26076.4427389811,9,320.416179328663,9,403.78317178152,0.957233359503124,0.949401798253258
"10","AUS",10,0.0100930741019174,10,112756.094075507,10,13718.8849574127,10,12639.2137542595,0.970073221854931,0.97420400411982
"11","AUT",11,0.00784763781491851,11,111872.810756413,11,10801.2234056137,11,11416.0809098899,0.973533115634063,0.97097128116327
"12","AZE",12,0.00243564745803856,12,49854.1751163432,12,2315.94301198765,12,1102.76364097439,0.982824710589977,0.983628847729689
"13","BDI",13,0.0018568890781307,13,2500.59209201062,13,49.3612654426981,13,101.885994910807,0.97967139220807,0.983257684225834
"14","BEL",14,0.0199114197467801,14,128821.049136453,14,24052.6529892077,14,24649.9105440662,0.977877556874245,0.975077393381313
"15","BEN",15,0.00233873290705557,15,7863.02727113587,15,205.147695269436,15,853.536302473499,0.980831470474926,0.958318961772154
"16","BFA",16,0.00227385512806338,16,14040.140477956,16,216.220893628125,16,396.128245180624,0.965585798486227,0.9789311234428
"17","BGD",17,0.00348993608478765,17,50154.9367479887,17,2270.26172411623,17,2758.48804472455,0.973346428653257,0.986963690364296
"18","BGR",18,0.00368745482278198,18,34357.0014933136,18,1949.72404784856,18,2628.13249979164,0.952742890121618,0.95110601418383
"19","BHR",19,0.00236554302170421,19,23486.6822900521,19,1271.43085251756,19,1433.0155422828,0.97836805218865,0.961058170855506
"20","BHS",20,0.00218381877016794,20,21706.6294961983,20,418.076259785691,20,1260.7565464577,0.985560806956336,0.967783224597718
"21","BIH",21,0.00267785238315893,21,17707.4607086404,21,588.63984957795,21,1058.01284111274,0.977574369143072,0.982545988768229
"22","BLR",22,0.00300657162227573,22,50023.363265898,22,2385.81966195268,22,2918.53144554333,0.970081664303287,0.957832700859042
"23","BLZ",23,0.00191571063008164,23,27021.3050674914,23,349.917276992609,23,226.215853683881,0.952834150482394,0.950728296013658
"24","BMU",24,0.00200147581085908,24,4191.0628569234,24,69.1984849710369,24,474.098684783257,0.990159610566125,0.986894405216511
"25","BOL",25,0.00219102414638467,25,32939.2625628448,25,925.25766218328,25,802.223920283474,0.969626900703194,0.981918318207764
"26","BRA",26,0.00970847730768241,26,100595.01780133,26,13848.2266597619,26,11176.1840571386,0.94017239625281,0.934184398975888
"27","BRB",27,0.00241539524476063,27,19215.5613223052,27,234.148458925763,27,494.691501793909,0.920515297221228,0.897714650437473
"28","BRN",28,0.00194483766975308,28,46461.5012871699,28,1184.58019115741,28,468.042317218275,0.997280433941791,0.998647489231626
"29","BTN",29,0.00155861195195106,29,8582.18284601959,29,63.7666474133048,29,109.694058623113,0.996989558675677,0.996933470504757
"30","BWA",30,0.00207815116600907,30,27371.8871871276,30,536.66607827923,30,508.880752926155,0.981401834338259,0.976441094824628
"31","CAF",31,0.00177309610487627,31,3430.56027088866,31,41.7463367975654,31,73.1534913555784,0.987125479880807,0.990727746777375
"32","CAN",32,0.019324183590739,32,150080.973387282,32,23442.7264151045,32,22248.8092599915,0.979184519209311,0.985107224131392
"33","CHE",33,0.0167909511123469,33,111799.805734094,33,16556.8399581359,33,16901.3616712933,0.966203261942347,0.971613531664152
"34","CHL",34,0.00402251889672014,34,81702.5258152414,34,5905.47270309677,34,4363.82065361839,0.976663728701542,0.978776331311112
"35","CHN",35,0.0409701234397015,35,175603.646843192,35,60131.4718923703,35,45019.2565791043,0.948884021635697,0.949615043708122
"36","CIV",36,0.00286222654642222,36,27886.3127079204,36,1464.82171869736,36,1081.09576237798,0.944755544392308,0.942616697330252
"37","CMR",37,0.00253998390067471,37,17790.3420276955,37,618.475745478893,37,700.236500046988,0.965737159913856,0.967432027656943
"38","COG",38,0.00258152391833992,38,39593.7520629127,38,1189.90874342755,38,801.504862108924,0.953362397711083,0.974120921146119
"39","COL",39,0.0038453879155183,39,79177.6175037791,39,4073.99540331532,39,3588.04872048499,0.957587789356734,0.949989035984163
"40","COM",40,0.00171427512476114,40,902.06560367413,40,16.6384539094536,40,68.4566992772333,0.982616999624554,0.989369861947078
"41","CPV",41,0.00185031667841765,41,2372.70640589969,41,35.0620782476638,41,172.946081870901,0.98990386122387,0.963621664852946
"42","CRI",42,0.00281657082338565,42,53687.7848204661,42,1636.46899281733,42,1324.59343831233,0.963811894969701,0.969668901677335
"43","CUB",43,0.00258029483289744,43,25786.8417910617,43,581.536752537859,43,1209.13138094307,0.946493525559332,0.96947269761531
"44","CYP",44,0.00287439851278249,44,16805.8008257507,44,492.035525997661,44,1776.94151234077,0.980620456431723,0.95645580566223
