"","iso_o","pageRank_unique.name","pageRank_unique.wpr","close_unique.name","close_unique.closeness","outdegree_unique.name","outdegree_unique.degree","indegree_unique.name","indegree_unique.degree","local_clust_tt_unique","local_clust_out_unique"
"1","ABW",1,0.0016291858257826,1,25.5443229417372,1,1.54338856981035,1,2.0990242215442,0.982484282424776,0.999350649350649
"2","AFG",2,0.00124478476753081,2,52.0053634613832,2,2.55552388422225,2,4.5373014852073,0.995531928862887,1
"3","AGO",3,0.00350525454839266,3,2.4667352125047,3,1.59610408813262,3,3.91838090266562,0.834665085243987,0.734913793103448
"4","ALB",4,0.00129895682958463,4,80.0050672288566,4,2.6966648560741,4,1.69607591493623,0.994064010371124,0.995973154362416
"5","AND",5,0.00147696466865241,5,16.5979676633554,5,1.78146009445676,5,2.75031146053714,0.938019253593565,0.966756513926325
"6","ARE",6,0.00726863000988013,6,317.032372568016,6,19.6147229276695,6,33.3490828470342,0.793131070414418,0.738154930528096
"7","ARG",7,0.00229087593063043,7,251.660765590903,7,10.0344015234102,7,6.13232124257072,0.953369779929401,0.956586027171874
"8","ARM",8,0.00163984333761809,8,25.2041196920115,8,2.160203660618,8,2.74853423300079,0.971704216139828,0.975705484896661
"9","ATG",9,0.00161846635520151,9,9.27271928735143,9,1.72979348015042,9,1.83841277117174,0.955773482083183,0.962056184159188
"10","AUS",10,0.0123528616120469,10,452.854997041971,10,38.2208387173905,10,56.7023216612632,0.811251311781203,0.788126368376587
"11","AUT",11,0.0103438333659025,11,663.379308093306,11,93.9794647611772,11,62.1668246658528,0.868281032914087,0.921005876067622
"12","AZE",12,0.00252711904495943,12,32.2409222089143,12,2.46713356781735,12,6.04506401901825,0.935587983737607,0.977907790523009
"13","BDI",13,0.000957828500484563,13,0.71672694087057,13,1.38801579650456,13,1.57348583389253,0.848310567936736,0.83
"14","BEL",14,0.00881203087079928,14,787.420755689783,14,77.0602282163868,14,59.6677190140017,0.855170797307686,0.874932963999441
"15","BEN",15,0.00130927486474362,15,43.3764058177501,15,2.11450417351359,15,1.9051623895602,0.943787457806149,0.899402390438247
"16","BFA",16,0.00109947554230976,16,41.6076357547241,16,2.61035367389883,16,1.72503334335924,0.93714124816476,0.946272332916697
"17","BGD",17,0.00188319988421367,17,11.6547365394499,17,2.22306922699389,17,2.09554505908995,0.880254745003272,0.841914285714286
"18","BGR",18,0.00247350394236821,18,117.91787473745,18,5.60819760946393,18,6.08644884523349,0.904084574945012,0.90973289041818
"19","BHR",19,0.00263417833039429,19,25.8939011538107,19,2.35382937796969,19,4.07063193335577,0.858610214194878,0.776595867549057
"20","BHS",20,0.00589522206221841,20,720.254486439875,20,55.4485529383471,20,61.4793718054744,0.939799165005414,0.904737982312246
"21","BIH",21,0.00214857809991287,21,25.9949180768739,21,2.15129677251797,21,2.42332382814957,0.937882082839599,0.962749363763238
"22","BLR",22,0.00185084340479032,22,18.370250305813,22,2.01638458972711,22,3.14631361052776,0.938719177967067,0.876964226011367
"23","BLZ",23,0.00175353597564757,23,5.691028502805,23,1.28682105707427,23,3.20472889421076,0.890046745100713,1
"24","BMU",24,0.00201845757734978,24,203.519436641992,24,5.59488824326899,24,4.84792573984811,0.976127547779939,1
"25","BOL",25,0.0015706896203885,25,9.26090355137955,25,1.88972224870605,25,1.98474139863281,0.842026935916199,0.930272667542707
"26","BRA",26,0.00418738130741337,26,509.534705709955,26,33.627679647565,26,33.3086639774125,0.950275517624251,0.951379636681746
"27","BRB",27,0.00226414075101817,27,25.5190415750807,27,2.21159168654043,27,2.63225217405999,0.823711828583923,0.700363648722132
"28","BRN",28,0.00168676321508681,28,2.67710980807025,28,1.46478291397737,28,2.31024318496844,0.951762076340584,1
"29","BTN",29,0.000911351627170892,29,3.47249569811167,29,1.46791887426686,29,1.47495763391057,0.769944476914085,1
"30","BWA",30,0.00157290671136107,30,15.3216105640679,30,2.23629514081464,30,2.22347737063631,0.891655102301148,0.815802738122338
"31","CAF",31,0.000917567066857671,31,35.2822050060849,31,1.87254252302081,31,1.34167829432158,0.980292497376705,0.996665608129565
"32","CAN",32,0.0103049498448531,32,919.482186196063,32,100.2864948689,32,66.5953557103965,0.851066620020214,0.874688580729542
"33","CHE",33,0.0823520313166631,33,1292.87526156015,33,434.526697077366,33,701.10234862526,0.828690768692074,0.808643849637899
"34","CHL",34,0.00331386340902931,34,378.924418423758,34,13.9445907709856,34,20.7044091952155,0.976526658118112,0.994522155046332
"35","CHN",35,0.0119309365722192,35,993.784595472967,35,164.855077240144,35,94.0195404572844,0.750767521760479,0.694697551428053
"36","CIV",36,0.00152758941264629,36,108.742826770182,36,4.10734537758819,36,1.90180187393754,0.981712361816674,0.983226620300618
"37","CMR",37,0.00194573537300035,37,63.4965130560959,37,3.18701729054965,37,1.9865794215316,0.907668294697654,0.898444375016272
"38","COG",38,0.00110809746632291,38,70.8744787692424,38,2.39726799532387,38,1.83482429520624,0.951579134694903,0.926522728032913
"39","COL",39,0.00234288474138372,39,255.692056945498,39,8.30901637968146,39,4.17361415254907,0.960472671317131,0.971983439527686
"40","COM",40,0.000946352073146195,40,1.31537413109795,40,1.15698449004038,40,1.44131600255063,0.866995073891626,1
"41","CPV",41,0.00147543515031195,41,0.602015579878728,41,1.15360918252728,41,1.76566714940906,0.917036077201118,0.5
"42","CRI",42,0.0025177661657506,42,49.0896101220735,42,3.0664161717696,42,4.88723994483056,0.828054361301537,0.907132481843226
"43","CUB",43,0.00133659733301848,43,55.5192372835971,43,3.64300770807235,43,1.95397940163479,0.888225906980743,0.894814674119499
"44","CYP",44,0.00238196913930797,44,244.831810736678,44,7.7724675181966,44,5.41606245043515,0.960204121100851,0.996582840448025
"45","CZE",45,0.00298265933890532,45,302.522802161108,45,13.4461127395036,45,9.46938744883838,0.929463123003023,0.955941075761368
"46","DEU",46,0.0276380604064554,46,1184.8518566284,46,325.814667473515,46,204.07423918934,0.828325966373236,0.840118553869633
"47","DMA",47,0.00148472868287734,47,3.25209262307378,47,1.41558052976429,47,1.69385127869141,0.90044994375703,0.920673076923077
"48","DNK",48,0.00550862150382859,48,400.447349996278,48,29.80607440944,48,21.3344491774345,0.832906334486446,0.846335880679723
"49","DOM",49,0.00277088073085081,49,37.2287291193784,49,2.5274760246661,49,4.14082037261054,0.85977533434253,0.943536630717739
"50","DZA",50,0.00128965480363839,50,34.6846221241747,50,1.87150240572514,50,2.20943219594281,0.942207185506358,1
"51","ECU",51,0.00193625756241147,51,40.9507049493291,51,2.62521122353794,51,2.51899684986851,0.895488001304871,0.912102500771843
"52","EGY",52,0.00210717853691451,52,352.474989470233,52,19.6545024480831,52,5.35156229282693,0.966877810119208,0.977644212576959
"53","ERI",53,0.000847514067311709,53,26.1049114579702,53,1.58346717289366,53,1.15420482157081,0.733822758259046,1
"54","ESP",54,0.00960307642978454,54,949.122136182224,54,112.987838411758,54,52.0692731265461,0.86036539699632,0.898375460705065
"55","EST",55,0.00235972152568056,55,25.882479909454,55,2.60799283134118,55,3.06627480450453,0.91620335172716,0.922561736958935
"56","ETH",56,0.00162708150176932,56,41.0673345022295,56,2.72318655303417,56,2.03846818741213,0.874101313635377,0.889526046075567
"57","FIN",57,0.00311978388366878,57,149.074033729231,57,8.25049528960186,57,12.1106358658502,0.917519558683697,0.962011662288131
"58","FJI",58,0.00121885346213214,58,67.810002101661,58,2.61322790492763,58,1.6232799784567,0.862558189429357,0.809496124031008
"59","FRA",59,0.0385747090889391,59,1567.17969215296,59,546.310650993139,59,220.169378969083,0.78387091049997,0.799905133546356
"60","FSM",60,0.00201814682098779,60,8.61097610714646,60,1.20757165750507,60,1.41316985867061,0.697759487882945,0.5
"61","GAB",61,0.00117587435488039,61,96.1942950933106,61,3.24832100422943,61,2.27293975673273,0.935405171656253,0.846505390573995
"62","GBR",62,0.13817220550287,62,1746.15576643105,62,772.466608180456,62,887.813826414082,0.780775764457752,0.774630622089533
"63","GEO",63,0.00184264144791996,63,118.970499971163,63,4.511558999913,63,2.53575575573759,0.974985752633551,0.980857440599079
"64","GHA",64,0.00324405893566132,64,77.0955610486165,64,3.02743630505213,64,2.2697658431553,0.890295018951447,0.914551975221431
"65","GIN",65,0.00121880523799689,65,10.4872106067878,65,1.73712019928987,65,1.54529713309832,0.934249125578247,0.942072322670375
"66","GMB",66,0.00113877418867249,66,0.203421997615265,66,1.24801746487515,66,1.49146095021509,0.97005742411813,1
"67","GNQ",67,0.00100652583837879,67,4.56016417888215,67,1.17911021459129,67,1.78006251076709,0.881812545792707,1
"68","GRC",68,0.00287937588696187,68,318.018992163341,68,17.7708033067036,68,13.716842972491,0.938571311641858,0.927445532318881
"69","GRD",69,0.00117485817544325,69,0.278576566477387,69,1.15098488025667,69,1.44106439861694,0.728174603174603,0.5
"70","GRL",70,0.00111927943620902,70,91.1335195773513,70,2.84623220765755,70,1.75814707872605,1,1
"71","GTM",71,0.0025753504081172,71,141.457106609742,71,4.73676691701246,71,2.84073483222361,0.926842629730511,0.938944962878689
"72","GUY",72,0.00148064051220173,72,8.68501122776724,72,1.5496262367618,72,1.74691073671896,0.736499115938368,0.723809523809524
"73","HKG",73,0.0332139414582398,73,660.590543070046,73,97.320566147055,73,309.970101813433,0.87673735785657,0.829313547710382
"74","HND",74,0.00238855040189446,74,12.919773940466,74,2.04172219990484,74,2.30971444221731,0.78722610927116,0.94912952216323
"75","HRV",75,0.00274877250970256,75,48.7514749196931,75,3.43201690738592,75,3.03232464019922,0.777968434406445,0.755913178891377
"76","HTI",76,0.00145619689475063,76,24.1800576981211,76,2.00570158235318,76,2.16354571454889,0.935685563258439,0.930068027210884
"77","HUN",77,0.00263544764112547,77,106.889883675681,77,5.67263549264361,77,6.02519589435504,0.894953950865448,0.942346728895072
"78","IDN",78,0.0037909110921636,78,243.170570335646,78,16.0774633672099,78,17.8968917907387,0.705086890218805,0.653540167097119
"79","IND",79,0.00431120290560299,79,594.222233072237,79,70.4404145480293,79,25.9052228070514,0.767342142741213,0.721342212399688
"80","IRL",80,0.0031081738969226,80,400.242497557704,80,19.2666052778109,80,9.2086866923122,0.951664205550334,0.9670970115609
"81","IRN",81,0.00204556507130963,81,398.36356968949,81,17.1746329602809,81,4.16544759495123,0.943206495766013,0.947051072030836
"82","IRQ",82,0.00158773590069945,82,140.632889730888,82,4.30725955791191,82,3.18530267054338,0.977226965320714,0.984799234877876
"83","ISL",83,0.00211593153741745,83,168.827866354829,83,6.85250857746083,83,4.87544979490039,0.951234296832493,0.948877556045254
"84","ISR",84,0.00443375701510627,84,476.025314740102,84,30.9702503222411,84,34.4595349006066,0.928178208141126,0.91054117812337
"85","ITA",85,0.00949172478553296,85,1185.77801400914,85,226.657980139438,85,69.0027943759772,0.870007539626164,0.861303322147605
"86","JAM",86,0.00166578490583272,86,68.801103721066,86,2.75865865190966,86,2.35110466989416,0.94970078312073,0.944394213381555
"87","JOR",87,0.00200182339364489,87,37.3213073706071,87,2.73589664474617,87,2.70890224974183,0.903914681560795,0.887462259403699
"88","JPN",88,0.0103266897319064,88,680.82771982261,88,84.0926131149763,88,92.2244786609506,0.875140536217503,0.880733789293523
"89","KAZ",89,0.00207011827210001,89,19.4253584242807,89,2.17829032820947,89,5.2527675921183,0.944984149836134,0.906825168682876
"90","KEN",90,0.00275866380097961,90,73.6585259826974,90,3.90398762276701,90,6.09594183503653,0.89786899213634,0.826593318237013
"91","KGZ",91,0.000876868748955266,91,14.0491421039422,91,1.9371792605246,91,1.39027548214241,0.982504763554478,0.97253071030325
"92","KHM",92,0.00210647099998813,92,93.6598832273281,92,3.78416048552674,92,7.88208977417834,0.905755051181183,0.90925580142998
"93","KNA",93,0.0011339404377096,93,6.66550005121534,93,1.48788527323523,93,1.40116988969375,0.998699389278444,0.994964028776978
"94","KOR",94,0.00730095324187137,94,481.039110626022,94,36.911196765975,94,69.3373462909353,0.900459276243401,0.87925509105054
"95","KWT",95,0.00249078371703551,95,21.5761337536069,95,2.21568041919062,95,5.50352017956008,0.942934403655898,0.887839553186088
"96","LAO",96,0.000966163024769399,96,85.16742491247,96,2.77157670379508,96,1.57143292575682,0.993957636344656,1
"97","LBN",97,0.00320336676661989,97,86.8561465746041,97,5.46039454709998,97,14.3439306431453,0.902712575519217,0.841601952537876
"98","LBR",98,0.00111896328988914,98,43.4178518803139,98,1.92810760914704,98,1.405401818693,1,1
"99","LBY",99,0.00120773492171041,99,10.0046622121128,99,1.50321314277406,99,1.66372080235077,0.969768041237114,1
"100","LCA",100,0.00212553498425669,100,28.3679067522579,100,1.77423197394955,100,2.23070813254781,0.939302378648034,0.998073436083409
"101","LKA",101,0.00173421100755271,101,26.1382179367247,101,2.35329351620258,101,2.41604502067357,0.929216061686949,0.920474397077841
"102","LSO",102,0.000828406107634351,102,0.117459441917801,102,1.00063095734448,102,1.06843124407032,1,0
"103","LTU",103,0.00244345086879793,103,44.0711832749439,103,2.91445515783362,103,3.15174422240085,0.894390840264644,0.877878064316659
"104","LUX",104,0.00441911515333417,104,494.566966391535,104,22.2304536364235,104,45.3099482149209,0.961981121491127,0.999489946623528
"105","LVA",105,0.00215520211685601,105,44.1569384155289,105,2.6949446909421,105,2.96908092944221,0.952265223874856,0.952399878640777
"106","MAC",106,0.00214883149835593,106,87.7575191545842,106,3.507290847565,106,5.58797356652589,0.980570723943121,0.997758001868332
"107","MAR",107,0.00217790871498371,107,148.344402170398,107,8.1795558515522,107,7.02697545149919,0.87186578571612,0.841898419817252
"108","MDA",108,0.00125953811185168,108,2.46745145672382,108,1.4003205781837,108,1.8669661702512,0.865482716010266,1
"109","MDG",109,0.00169171819238623,109,65.3849208739004,109,3.00254705976455,109,1.88577330632069,0.902712463181064,0.854475566519014
"110","MDV",110,0.00115599171567726,110,18.9539186976432,110,1.15122004194508,110,1.74110787487406,0.956204927884615,0
"111","MEX",111,0.00638284531825474,111,669.922993699672,111,47.8913589165503,111,39.0108515188902,0.931028409008944,0.947647280922049
"112","MHL",112,0.000999979327644783,112,0.116307909151941,112,1.00063095734448,112,1.45868323161516,0.500972342264477,0
"113","MKD",113,0.00260697797305055,113,45.1353009808697,113,2.41050843196019,113,8.06959174568874,0.988298750371321,0.981811846689895
"114","MLI",114,0.00172266145064906,114,100.202289727312,114,3.11850698846392,114,2.13577739487335,0.932929231833971,0.962350457424349
