country,iso_o,year,gdp_pc,trade_ratio,log_gdp_pc,D_log_gdp_pc,landlocked,continent,lat,lon,langoff_1,colonizer1,category,development
Aruba,ABW,1997,35444.578,168.78,10.475725,0.029348373,0,America,12.55,-70.099998,Dutch,NLD,Emerging and Developing Economies,0.0
Afghanistan,AFG,1997,16600.945,71.55677,9.7172146,0.046239853,1,Asia,34.516666,69.199997,Persian,,Emerging and Developing Economies,0.0
Angola,AGO,1997,6810.2202,71.55677,8.8261795,0.036263466,0,Africa,-8.833333,13.25,Portuguese,PRT,Emerging and Developing Economies,0.0
Albania,ALB,1997,4943.0,44.73,8.5057278,-0.11830711,0,Europe,41.333332,19.816668,Albanian,TUR,Emerging and Developing Economies,0.0
Andorra,AND,1997,50032.352,71.55677,10.820425,0.075670242,0,Europe,42.5,1.5,Catalan,,Advanced Economies,1.0
United Arab Emirates,ARE,1997,103392.44,71.55677,11.546288,-0.0025215149,0,Asia,24.466667,54.416668,Arabic,GBR,Emerging and Developing Economies,0.0
Argentina,ARG,1997,23172.16,23.34,10.050707,0.065842628,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
Armenia,ARM,1997,3879.1799,78.550003,8.2633791,0.042615891,1,Asia,40.183334,44.5,Armenian,TUR,Emerging and Developing Economies,0.0
Antigua and Barbuda,ATG,1997,23350.311,71.55677,10.058366,0.032779694,0,America,17.133333,-61.833332,English,GBR,Emerging and Developing Economies,0.0
Australia,AUS,1997,40773.57,37.919998,10.615789,0.027611732,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
Austria,AUT,1997,48575.16,75.239998,10.790868,0.020098686,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
Azerbaijan,AZE,1997,4425.5898,82.080002,8.3951588,0.04673481,1,Asia,40.366665,49.883335,Azeri,RUS,Emerging and Developing Economies,0.0
Burundi,BDI,1997,1071.5601,71.55677,6.976871,-0.015951157,1,Africa,-3.3666666,29.316668,French,BEL,Emerging and Developing Economies,0.0
Belgium,BEL,1997,46396.0,125.69,10.744968,0.034814835,0,Europe,50.833332,4.3499999,Dutch,,Advanced Economies,1.0
