iso_o,outdegree_unique.degree,indegree_unique.degree,pageRank_unique.wpr,close_unique.closeness,outdegree_repro.degree,indegree_repro.degree,pageRank_repro.wpr,close_repro.closeness,outdegree_total.degree,indegree_total.degree,pageRank_total.wpr,close_total.closeness
MMR,2.76,1.82,0.0,48.33,29.72,264.0,0.0,1418.84,1551.62,1761.96,0.0,52860.54
MNG,2.45,2.38,0.0,42.87,5.45,84.95,0.0,258.02,760.3,681.83,0.0,49481.51
MOZ,2.3,2.25,0.0,25.49,10.9,126.72,0.0,726.43,726.58,1132.45,0.0,22642.88
MRT,1.4,1.52,0.0,6.65,5.13,55.01,0.0,238.84,442.73,562.95,0.0,21051.22
MUS,2.7,3.36,0.0,35.98,40.87,97.14,0.0,1900.76,463.07,759.43,0.0,15608.35
MWI,1.74,1.79,0.0,8.67,5.26,61.86,0.0,172.15,222.99,339.97,0.0,6982.06
MYS,6.05,12.8,0.0,113.85,8062.47,5274.56,0.01,46019.14,12900.48,11182.75,0.01,109431.84
NAM,4.93,2.36,0.0,74.27,43.62,89.94,0.0,2202.16,742.08,761.26,0.0,23210.8
NCL,1.92,2.59,0.0,25.56,6.89,59.38,0.0,360.53,303.21,449.0,0.0,16948.85
NER,2.28,2.54,0.0,46.39,5.76,39.81,0.0,299.85,279.13,302.01,0.0,18833.72
NGA,6.34,3.58,0.0,180.43,21.74,681.31,0.01,991.11,6461.71,4099.96,0.0,82780.58
NIC,2.06,2.05,0.0,25.81,121.48,134.88,0.0,7251.72,667.47,828.17,0.0,39619.01
NLD,108.68,124.76,0.02,861.62,5000.88,5790.83,0.02,29480.37,29635.14,29963.85,0.02,157478.2
NOR,35.86,36.13,0.01,432.0,571.59,1150.18,0.01,8298.21,11577.08,6885.52,0.01,110979.45
NPL,7.83,2.15,0.0,178.1,6.5,121.74,0.0,315.23,215.56,925.33,0.0,17709.37
NRU,0.89,0.79,0.0,3.61,3.15,4.0,0.0,137.17,26.08,30.14,0.0,2332.98
NZL,17.29,15.71,0.0,228.0,195.15,570.38,0.0,5571.9,3753.4,3586.57,0.0,69166.06
OMN,2.98,5.62,0.0,58.67,122.01,357.68,0.0,4732.72,4005.42,2718.62,0.0,87820.56
PAK,10.59,4.41,0.0,203.62,38.02,644.04,0.0,1354.12,2861.42,4751.97,0.0,52724.95
PAN,8.26,8.13,0.0,191.56,146.1,347.72,0.0,2535.91,1122.85,4269.84,0.0,25114.05
PER,4.94,3.77,0.0,127.74,54.11,572.04,0.0,1535.15,4101.35,3378.79,0.0,75819.26
PHL,8.41,7.28,0.0,171.74,3844.76,2835.7,0.01,33637.67,3926.93,6661.77,0.0,68805.33
PLW,1.02,1.25,0.0,5.36,1.98,5.5,0.0,38.38,11.58,31.86,0.0,1316.95
PNG,4.01,1.84,0.0,111.45,6.53,86.72,0.0,367.88,1097.38,637.72,0.0,39993.55
POL,14.2,13.33,0.0,263.99,2755.12,2876.01,0.01,26536.73,13009.17,14382.78,0.01,126695.11
PRK,1.92,2.55,0.0,28.28,46.2,56.16,0.0,2077.94,342.0,553.12,0.0,23334.95
PRT,11.31,13.99,0.0,205.26,928.86,1187.06,0.01,15058.18,5413.07,7221.58,0.01,73009.37
PRY,1.94,2.21,0.0,24.41,37.74,308.39,0.0,2700.37,1096.04,1126.5,0.0,40576.1
PYF,3.49,2.73,0.0,88.24,4.24,47.37,0.0,208.33,68.94,333.15,0.0,4789.68
QAT,11.49,45.4,0.01,199.31,40.31,465.8,0.0,2055.34,6952.33,2700.72,0.0,91956.89
RUS,52.29,60.16,0.01,574.67,681.56,2848.92,0.01,7437.07,26388.68,14977.63,0.01,135538.96
RWA,1.94,2.0,0.0,16.15,3.95,56.8,0.0,95.57,133.12,300.1,0.0,8517.89
SAU,12.77,20.54,0.0,180.0,258.32,1626.07,0.01,7186.16,18466.98,9672.76,0.01,129315.58
SDN,2.08,1.83,0.0,36.61,8.3,167.46,0.0,601.71,1083.0,1357.59,0.0,44220.92
SEN,2.98,2.88,0.0,39.03,15.95,138.37,0.0,409.34,524.03,1120.02,0.0,15063.74
SGP,64.39,85.07,0.01,476.63,8298.41,6580.76,0.02,41153.55,15654.91,17299.03,0.01,107062.49
SLB,1.75,1.46,0.0,21.76,2.59,16.01,0.0,76.24,116.77,100.82,0.0,10278.51
SLE,1.76,1.56,0.0,29.08,9.41,39.88,0.0,449.96,161.8,238.2,0.0,11959.52
SLV,1.89,2.18,0.0,12.98,86.63,177.49,0.0,4392.47,851.35,1308.87,0.0,40886.73
STP,1.04,1.36,0.0,3.91,2.76,8.38,0.0,65.3,11.71,46.72,0.0,636.13
SUR,1.67,2.0,0.0,11.08,5.73,38.79,0.0,349.38,374.35,297.13,0.0,19513.52
SVK,3.64,3.76,0.0,71.01,1624.95,1515.49,0.01,20084.28,5632.88,5720.1,0.0,84464.12
SVN,2.97,3.71,0.0,40.84,624.18,569.31,0.0,14351.07,3039.43,3415.07,0.0,58811.14
SWE,23.73,23.64,0.01,337.73,2362.25,2398.12,0.01,15930.75,11988.38,11025.58,0.01,95015.73
SWZ,1.89,2.88,0.0,20.96,18.04,31.73,0.0,988.66,353.49,278.93,0.0,21079.23
SYC,1.92,2.41,0.0,22.24,6.85,33.32,0.0,388.52,216.62,348.31,0.0,12036.04
SYR,6.67,1.77,0.0,153.53,23.52,174.13,0.0,623.79,910.64,1481.7,0.0,21492.69
TCD,1.91,1.19,0.0,38.62,3.06,38.53,0.0,76.58,435.29,192.95,0.0,28744.19
TGO,2.0,1.72,0.0,19.59,9.42,101.73,0.0,694.89,418.75,972.91,0.0,14735.2
THA,15.23,9.33,0.0,222.89,3972.42,3605.45,0.01,30809.13,13968.7,12901.9,0.01,110386.35
TJK,2.65,1.42,0.0,50.41,5.5,64.54,0.0,220.75,252.84,588.84,0.0,11286.68
TKM,2.23,1.91,0.0,46.04,3.78,138.84,0.0,149.01,1174.38,736.05,0.0,55994.31
TON,1.53,1.48,0.0,19.12,2.15,10.09,0.0,38.34,10.68,55.83,0.0,631.72
TTO,3.4,2.44,0.0,87.72,20.76,106.49,0.0,591.07,1692.87,1042.71,0.0,57619.27
TUN,3.26,2.28,0.0,78.24,600.57,490.77,0.0,14173.28,1701.32,2285.45,0.0,45245.71
TUR,20.9,17.31,0.0,384.14,1294.2,1940.26,0.01,14088.85,11320.1,14273.99,0.01,90209.56
TUV,1.12,0.77,0.0,3.23,4.2,7.62,0.0,233.51,18.71,39.58,0.0,2084.22
TZA,3.36,2.59,0.0,49.17,13.05,185.22,0.0,430.65,747.0,1368.21,0.0,22749.01
UGA,2.34,2.16,0.0,30.09,13.93,111.6,0.0,917.53,383.71,721.39,0.0,13670.98
UKR,5.36,12.01,0.0,121.14,446.25,733.74,0.0,9316.43,4983.02,5394.99,0.0,64032.83
URY,6.58,5.07,0.0,168.29,31.39,200.73,0.0,1511.73,1233.56,1303.08,0.0,35247.6
USA,1075.49,1250.77,0.22,1993.82,13280.0,21393.72,0.08,45366.17,66678.62,95017.57,0.08,194479.57
UZB,3.6,2.63,0.0,82.31,31.51,206.92,0.0,1822.58,1382.12,1596.25,0.0,38976.81
VCT,3.69,2.92,0.0,113.63,3.24,13.55,0.0,101.32,60.79,129.67,0.0,3735.25
VEN,6.73,10.68,0.0,196.54,34.11,531.83,0.01,2209.16,4908.77,2880.61,0.0,89033.52
VNM,5.73,5.06,0.0,104.36,5006.53,3971.14,0.01,33703.59,9255.76,9621.76,0.01,101715.97
VUT,1.75,1.61,0.0,16.28,3.09,12.58,0.0,111.79,89.81,101.96,0.0,7129.88
WSM,1.28,1.42,0.0,4.08,18.78,17.34,0.0,1668.05,14.46,98.04,0.0,848.5
YEM,2.35,1.69,0.0,57.12,13.56,128.36,0.0,998.13,805.85,1338.9,0.0,29314.67
ZAF,26.13,18.26,0.01,365.07,375.77,1333.55,0.01,4568.95,9022.29,7537.64,0.01,97933.46
ZMB,2.91,2.08,0.0,37.25,20.47,115.77,0.0,1407.44,1115.76,774.86,0.0,39495.16
ZWE,7.26,2.01,0.0,139.04,12.67,90.49,0.0,755.24,630.76,699.19,0.0,24840.13
