TIME_PERIOD,pageRank_unique.wpr,close_unique.closeness,outdegree_unique.degree,indegree_unique.degree,local_clust_tt_unique,local_clust_out_unique
2000,0.005291005291005251,110.39667196851431,17.769719919978563,16.583281811035413,0.8727776268606241,0.8285853118223563
2001,0.005291005291005254,107.00502833065444,17.49148560058994,16.797746887991142,0.85840134583244,0.8231024265647594
2002,0.005291005291005246,98.97639770715526,17.058332857181018,16.12934599359571,0.8544347420520302,0.8331173351243092
2003,0.005291005291005251,102.34894069642456,17.2893614046238,16.493978745569397,0.8555562548546897,0.8144556489124944
2004,0.005291005291005254,120.43480962773596,19.931335043291288,19.13830504511523,0.8721539524948101,0.8417414793738915
2005,0.0052910052910052465,131.43247632692922,21.369582716421792,20.805995211341855,0.867515210390165,0.8327188582636011
2006,0.005291005291005243,159.7900317271744,24.25143986343412,23.499138480085136,0.8780065495422757,0.8308549233752359
2007,0.005291005291005249,200.48451057886834,29.675871904208073,29.377491302412373,0.8676349972471439,0.814503884947273
2008,0.005291005291005247,202.96069775575273,29.340917242931553,29.765375365280615,0.8637500735217357,0.8119174738531106
2009,0.005291005291005251,146.32029745095653,22.193778663809493,22.521752655691266,0.8719646142627292,0.8359156130463881
2010,0.005291005291005247,166.71097268926724,25.529925668713325,25.488030774380576,0.8784517339212156,0.8338533157864475
2011,0.005291005291005245,188.64639559215135,29.076358330695374,28.53702048273777,0.8880698367324322,0.8503314516271142
2012,0.005291005291005247,188.3609737399552,30.400456447142673,29.78162485272813,0.8928510994236881,0.8748049425646093
2013,0.005291005291005252,205.33993333131815,31.848836494726154,31.17569635585647,0.8904691356204067,0.879627329467653
2014,0.005291005291005249,212.0076722299192,32.98202622028007,32.498607253779724,0.9069025084178746,0.8900314731369754
2015,0.0052631578947368,220.25737120844937,35.05626047575327,34.70144453262632,0.8988447924091919,0.8824022966248228
2016,0.005263157894736801,218.37196516517628,33.097499932323515,33.366753424213655,0.9037240318754788,0.8866620089903301
2017,0.005263157894736795,219.1543002237251,32.85795979407118,33.00867553378822,0.9041383827226647,0.85777102669519
2018,0.0052631578947368,248.78352518085651,37.01228264699828,37.23291408204874,0.9186214738453033,0.9023764990999041
2019,0.005263157894736802,265.1925317979041,41.11916349067417,40.77569472221347,0.9134712026983671,0.899400435274904
2020,0.0052631578947368,176.38012110020577,26.264706076338747,27.044767348509517,0.9011663781788212,0.8882278522905415
2021,0.005263157894736805,211.85785894040566,34.226658038970506,34.58395786236755,0.9200317463066259,0.9140909514932416
2022,0.005263157894736799,256.78977961798034,39.15388410058722,39.4912421751509,0.9151815983253299,0.9114547459336807
2023,0.005291005291005247,268.05253017343625,42.35384934997885,42.625051442811895,0.8963058139531592,0.8662540807177019
