"","iso_o","pageRank_total.name","pageRank_total.wpr","close_total.name","close_total.closeness","outdegree_total.name","outdegree_total.degree","indegree_total.name","indegree_total.degree","local_clust_tt_total","local_clust_out_total"
"1","ABW",1,0.00169515608270157,1,3235.95687009278,1,43.4370163481239,1,283.314173663652,0.991942958581881,0.964415579465961
"2","AFG",2,0.00256139031353029,2,28082.6506106103,2,462.657360175075,2,1471.05639269742,0.938695764571602,0.988556539899906
"3","AGO",3,0.00277583237212051,3,126194.39812943,3,4374.26115049517,3,1547.26731749639,0.987048072122992,0.992270695930683
"4","ALB",4,0.00223288825047882,4,31311.4858324804,4,501.257582296851,4,895.643878949043,0.983877843091064,0.989035801097196
"5","AND",5,0.00191717983329572,5,3822.84235922058,5,44.1040598201735,5,324.145002596396,0.997149791232405,0.983878727632495
"6","ARE",6,0.0209083603908326,6,141538.076537575,6,22319.6867235635,6,18244.6846334887,0.941284402001473,0.936204754130923
"7","ARG",7,0.00382751750786117,7,86680.1288143822,7,7088.29576012502,7,4853.57066414502,0.968874454781996,0.963683365108345
"8","ARM",8,0.00216990418644186,8,24745.762307956,8,576.210815235572,8,755.657021738756,0.966262418607729,0.967149804963987
"9","ATG",9,0.00211279226359954,9,6401.34350479678,9,96.1653646919488,9,266.824131669463,0.974148221069654,0.926434007706875
"10","AUS",10,0.00956885113993443,10,194548.181860827,10,21500.5460989878,10,16257.4455273665,0.983135588560496,0.985278009891836
"11","AUT",11,0.00691364979082587,11,150664.746259959,11,13697.1740233831,11,13797.3078508532,0.97942255922028,0.978510888228279
"12","AZE",12,0.00245423054486473,12,66846.5682451613,12,2690.93897533403,12,1737.98670160059,0.974540584811319,0.977707674671766
"13","BDI",13,0.0018846521564651,13,6658.46301749467,13,74.4804862461043,13,192.619156919776,0.982266297202325,0.984765465059859
"14","BEL",14,0.0147078883334756,14,158082.042604858,14,24536.365915564,14,25481.8394288094,0.982112940014331,0.979918081087629
"15","BEN",15,0.00219321874926181,15,17382.8949221981,15,401.143940690552,15,871.989835753294,0.979995039679229,0.967813998046575
"16","BFA",16,0.00225851620538847,16,38890.5766369011,16,664.309906814658,16,637.424551166478,0.975369057145703,0.988205860542086
"17","BGD",17,0.00416286424680635,17,78245.0111043401,17,4866.92909123866,17,6049.21649361017,0.987303438319895,0.987555448725717
"18","BGR",18,0.00346658262998614,18,63697.5168711078,18,3368.67712587223,18,3736.85749210435,0.977997031550469,0.969699337193585
"19","BHR",19,0.00275721482893099,19,59678.8378388552,19,2191.67534027051,19,2576.20992015481,0.977859451529228,0.979723803761014
"20","BHS",20,0.00229415983049978,20,17713.4268808124,20,332.629234227125,20,1438.19231093877,0.990767018578105,0.987039482520651
"21","BIH",21,0.00247802540409907,21,26823.12390277,21,925.547677647411,21,1297.41560955801,0.973619693109249,0.976132593639523
"22","BLR",22,0.00293736747890452,22,94356.6544792698,22,3687.09488095169,22,4148.75502597548,0.981602270857036,0.979027787227325
"23","BLZ",23,0.00191227582118524,23,5850.2078799086,23,100.930645040848,23,263.393739366901,0.982482493403044,0.977108505824347
"24","BMU",24,0.00195515372605116,24,8941.53048041596,24,91.45850736128,24,278.929402603343,0.996195342979851,0.995154928240889
"25","BOL",25,0.00222209678058716,25,35677.1933110204,25,1389.89427017666,25,1217.22079989407,0.979529307196653,0.98358349560902
"26","BRA",26,0.008551544370221,26,174988.084651246,26,19107.2252785764,26,14853.0713086922,0.961799543490153,0.955412644749304
"27","BRB",27,0.00221196298142174,27,4405.74677151488,27,116.494527331163,27,341.801876508325,0.956521545351738,0.886295746967974
"28","BRN",28,0.00213776029410609,28,45365.2707528501,28,1121.32418082511,28,845.319156508311,0.980581936591823,0.990513525678234
"29","BTN",29,0.00154196173128044,29,11702.9213372578,29,88.6264004729204,29,202.964585930616,0.999073898895937,0.995443460340031
"30","BWA",30,0.00230559736216604,30,30247.1172320166,30,903.408204959011,30,1042.40300095625,0.988056735925655,0.984002803416117
"31","CAF",31,0.00182931737061461,31,2491.08398505431,31,32.8178017494094,31,122.763169301673,0.985434089199674,0.991651071883715
"32","CAN",32,0.0178309685129614,32,214966.596895028,32,32224.1461435627,32,30433.4087047054,0.989465382786948,0.992265336960681
"33","CHE",33,0.0160279798641906,33,160233.33129454,33,23873.8389243057,33,21478.8864853099,0.978029186526414,0.980295853534123
"34","CHL",34,0.004344852557101,34,127261.517344531,34,7297.06215438705,34,6723.55808267698,0.985969867557119,0.987605273088512
"35","CHN",35,0.0634117975795736,35,264194.974245878,35,98991.7605896154,35,81756.2983213708,0.945556313337056,0.947428691332183
"36","CIV",36,0.00273117521850212,36,33540.3456487285,36,1898.2243619323,36,1514.16807874756,0.958256400052491,0.952495429238026
"37","CMR",37,0.0026752636353489,37,26921.3307607926,37,933.501783698127,37,1153.34311346546,0.955740781965932,0.962524663425224
"38","COG",38,0.00214173001369578,38,67253.1143814212,38,1482.14660373209,38,535.220208598043,0.988181253852545,0.993470774185062
"39","COL",39,0.00373164624995,39,100253.21764549,39,5024.33623653791,39,5235.42329480468,0.965968821689927,0.951444411088349
"40","COM",40,0.00173179810331832,40,1529.10175321907,40,26.7252451114091,40,94.6003202352843,0.989804243229395,0.994568680364258
"41","CPV",41,0.0018157103064552,41,5012.81802749575,41,49.3106265155573,41,292.771523974604,0.992507478307151,0.991555933167885
"42","CRI",42,0.00276832136113611,42,63969.8911686257,42,1838.43928553475,42,1957.27646969779,0.967160830242093,0.963270611439691
"43","CUB",43,0.00230610465329931,43,17744.7341946497,43,418.948565409375,43,1266.61348193329,0.952009175872795,0.966561950820489
"44","CYP",44,0.00273160962625783,44,15092.9596332303,44,726.925364351287,44,1627.68319515917,0.949265951829525,0.89942833349662
"45","CZE",45,0.00640586261489122,45,154132.464304607,45,13754.1860574474,45,12307.4542917903,0.982712325937359,0.985309168580591
"46","DEU",46,0.0396998174213403,46,246443.695987056,46,74851.1326395389,46,62781.9321304591,0.971940245876425,0.972809142749027
"47","DJI",47,0.00197958310564502,47,9171.10165953844,47,163.614583522953,47,914.452668116674,0.990523031498027,0.939057023374504
"48","DMA",48,0.00202939695296225,48,1877.42687946757,48,32.0840561063644,48,162.220536054831,0.97035394630013,0.936393658294272
"49","DNK",49,0.00595124496368853,49,100839.867576806,49,9398.97594353754,49,8734.72504000755,0.977522545848732,0.97510727371242
"50","DOM",50,0.00331749124929622,50,65496.621823523,50,1597.07725525111,50,2636.89056360757,0.971016176168063,0.959403100869139
"51","DZA",51,0.00361021439823788,51,65623.1116409145,51,4530.04113891453,51,4742.74551199758,0.98828291065316,0.991260860420078
"52","ECU",52,0.00323747682526885,52,76897.6047630496,52,3141.27226447428,52,2757.17105789247,0.969001316585724,0.971296752900153
"53","EGY",53,0.00559076792432644,53,51500.7678451246,53,3905.73212646284,53,7691.99500446488,0.971093581538455,0.943576391217087
"54","ERI",54,0.00160631751827612,54,10297.3571859171,54,139.971496838213,54,118.148060058195,0.995998452826056,0.997195928341085
"55","ESP",55,0.0171142966348508,55,144878.641455835,55,23709.2887757599,55,25490.1198678044,0.959394125265218,0.963195140655027
"56","EST",56,0.00273816160449813,56,36552.8794694516,56,1936.20343065639,56,2375.36588678146,0.96774419010627,0.965402321916207
"57","ETH",57,0.00327624900772751,57,18589.9576536991,57,562.658007242276,57,2045.48110032496,0.970902607068445,0.964149122984824
"58","FIN",58,0.00420943896034533,58,88878.0428749729,58,7215.82537103281,58,6953.26534699718,0.979994933139895,0.975652383888702
"59","FJI",59,0.00209103926765221,59,11633.3143255851,59,186.347567275093,59,525.980255642722,0.965731787616283,0.897063845607029
"60","FRA",60,0.0247777745672655,60,176959.650088375,60,36960.3066422844,60,40162.5861060711,0.974591088736126,0.974667354355498
"61","FSM",61,0.00144845216662446,61,6899.9033795152,61,58.8739335293546,61,36.9475287712251,0.993518952316229,0.987734834894874
"62","GAB",62,0.00240851363971411,62,62117.5257158751,62,1255.00140242691,62,589.529438901502,0.960291698983208,0.971158725786977
"63","GBR",63,0.0242248543466235,63,167352.880024797,63,29816.7859741189,63,41840.5675359846,0.974327807141452,0.97293986045213
"64","GEO",64,0.00237269144529555,64,17507.6351169596,64,569.066195674282,64,1385.48581230559,0.964199678702514,0.929478493458012
"65","GHA",65,0.00298988192425051,65,50175.368138198,65,2183.81046969922,65,2140.63721277772,0.971207499857433,0.98109736726835
"66","GIN",66,0.00198959300361333,66,36034.2339530478,66,1013.59277017934,66,770.662293298214,0.99152430632222,0.986865669290061
"67","GMB",67,0.00192486001242903,67,4664.37758650127,67,76.7570204776272,67,323.052088300092,0.985639532509344,0.962153797968567
"68","GNB",68,0.00164026389532098,68,5673.68948099656,68,72.9910480790865,68,87.5806506698622,0.993209118574006,0.990319397749077
"69","GNQ",69,0.00175177734597225,69,38486.9932057137,69,859.79186465804,69,248.055904880859,0.995213574410867,0.994575042454499
"70","GRC",70,0.00452562521493974,70,55647.3571184033,70,4137.38239233912,70,6459.13864233889,0.941856234247298,0.94117828767664
"71","GRD",71,0.00194671244407354,71,1552.40033461537,71,22.2913772749855,71,127.071871145236,0.970904979450581,0.940931873263899
"72","GRL",72,0.00187479099540344,72,19101.5319042804,72,239.950196577543,72,244.796640000662,0.99114580872558,0.993622228158765
"73","GTM",73,0.00313222183672032,73,57738.404793464,73,1680.41920723833,73,2412.37470831266,0.960482076744799,0.942853871760086
"74","GUY",74,0.00243036854082293,74,18629.0733051582,74,352.690661336805,74,507.975358933796,0.968686551574731,0.976200978767107
"75","HKG",75,0.00957061012122164,75,123187.296040772,75,8768.89462742126,75,16873.5811522702,0.98245840406766,0.968299368433545
"76","HND",76,0.00283478052801359,76,58837.0249692777,76,1235.15464781318,76,1696.89522779272,0.965749402180691,0.967320711348082
"77","HRV",77,0.00321468703887729,77,43361.2700513375,77,1985.38639735043,77,3325.41995273932,0.975684802705942,0.969431770936377
"78","HTI",78,0.00211220058464736,78,29935.9667265224,78,305.039291238003,78,742.776952704767,0.983170417270119,0.997420311882925
"79","HUN",79,0.00472267022819231,79,125912.261350791,79,8750.66236522947,79,8703.94482685461,0.9868753394444,0.982351505800413
"80","IDN",80,0.00762143290837002,80,136800.504496803,80,14989.5020709705,80,13323.1562681792,0.972291820748304,0.968102869060983
"81","IND",81,0.0241182291026031,81,157217.885124819,81,24766.6629079944,81,31409.5100602813,0.940033267852926,0.940052027126181
"82","IRL",82,0.00576426811318759,82,155907.514660525,82,15066.061680847,82,8161.82791850411,0.989780333619308,0.991586864292162
"83","IRN",83,0.00339422047752459,83,105002.921550449,83,4720.34625601974,83,4488.95144276836,0.968995837816717,0.933234468787581
"84","IRQ",84,0.00406693380063337,84,128226.969207559,84,8783.12200781749,84,5693.802427897,0.996244550893995,0.998546014262974
"85","ISL",85,0.00226012320226251,85,32239.8801965589,85,929.092540741448,85,982.244338380853,0.99049479366538,0.991215947885501
"86","ISR",86,0.00480609454106328,86,109454.124345059,86,5499.57578715699,86,7159.86109609472,0.986351042989892,0.991730003593374
"87","ITA",87,0.0201414085081455,87,172565.358783886,87,35001.0619018578,87,31462.9782726984,0.963496289238333,0.966892290769862
"88","JAM",88,0.00243252044334436,88,17671.2272475113,88,332.275822772309,88,977.242066041852,0.980081089548933,0.962364378591665
"89","JOR",89,0.00338177592574156,89,47452.1038248005,89,1418.6343314232,89,2692.82661332755,0.976674059365234,0.950691014622673
"90","JPN",90,0.0247473035928236,90,204776.802583482,90,40027.3148442272,90,40667.8593609947,0.971075841740247,0.972607958902931
"91","KAZ",91,0.00351673178540712,91,85986.8974920454,91,5948.49309826836,91,4630.72073923801,0.979151299745149,0.978629392556981
"92","KEN",92,0.00319178985451911,92,34695.1693052089,92,1164.02299439321,92,2409.34883934544,0.970535738077023,0.938816436866485
