"","iso_o","pageRank_repro.name","pageRank_repro.wpr","close_repro.name","close_repro.closeness","outdegree_repro.name","outdegree_repro.degree","indegree_repro.name","indegree_repro.degree","local_clust_tt_repro","local_clust_out_repro"
"1","ABW",1,0.00202683280083093,1,64.1359004372855,1,2.69722062370039,1,25.7035821650113,0.988990115961728,0.916641088602415
"2","AFG",2,0.00238619362586656,2,58.2042575649729,2,3.18686387643359,2,18.1112022854208,0.93922386196015,0.764839748348304
"3","AGO",3,0.00235403778080119,3,158.1673830605,3,4.30930675822132,3,63.5073710260508,0.928486117940786,0.927101001635939
"4","ALB",4,0.00205968103614775,4,498.549484649745,4,6.89318991683151,4,63.8734287077274,0.961205729668699,0.955255432657394
"5","AND",5,0.00182186243601987,5,465.933283432776,5,10.3472655723734,5,51.3653758082546,0.978328654215194,0.950432239412983
"6","ARE",6,0.00968238000601227,6,4183.69302231038,6,282.797921283436,6,799.118093088446,0.856523415485435,0.627300848473691
"7","ARG",7,0.00522003064685743,7,4301.80189302562,7,131.508532861036,7,520.788848927675,0.935883633601651,0.805083466559216
"8","ARM",8,0.00192795671742033,8,469.829225102265,8,10.8016623701293,8,22.256368968627,0.934804566630902,0.823275488952356
"9","ATG",9,0.00168985070935681,9,25.5794205209393,9,2.76573939975266,9,10.8394405120704,0.942799166583522,0.658631107149048
"10","AUS",10,0.00915088190516728,10,5727.86039171231,10,443.006869046009,10,1279.5863815952,0.884944202792531,0.798403074440045
"11","AUT",11,0.00973742174033512,11,13975.439564618,11,1547.74206960086,11,1430.11972152397,0.902124849138966,0.886134762910361
"12","AZE",12,0.00270120194131875,12,100.798346476148,12,5.04009210574902,12,52.500530429972,0.951818398125882,0.919161289734928
"13","BDI",13,0.0022791743330383,13,16.4684777983806,13,1.71538658236755,13,9.21834415931736,0.974608469199472,0.976682692307692
"14","BEL",14,0.0133090372341807,14,12025.5006734278,14,1896.8573072245,14,2098.12924200674,0.914603612430719,0.884007853684182
"15","BEN",15,0.00237467520529702,15,146.323347267029,15,4.60533811116553,15,53.0908429856913,0.931371959092248,0.858203702255354
"16","BFA",16,0.00217733747704095,16,113.074164343682,16,5.38662898296806,16,17.5390399874067,0.93728298049795,0.836372153381126
"17","BGD",17,0.00351921888303009,17,447.827444104486,17,8.54465540227183,17,131.663665805167,0.953689520294453,0.945353188946697
"18","BGR",18,0.00279706337114281,18,1765.47520515795,18,66.5428270795743,18,167.344747386931,0.910020408291693,0.822317963630412
"19","BHR",19,0.00274169422348331,19,439.978241064765,19,15.00591157896,19,78.5167838965652,0.97134387515156,0.918707452581851
"20","BHS",20,0.0019269011409035,20,534.881057252686,20,6.91948228540437,20,46.4856421800069,0.988484882978535,0.949238464739595
"21","BIH",21,0.00252065434452204,21,350.710906848772,21,8.74341396205501,21,68.5386910799304,0.893199827240424,0.86576135618033
"22","BLR",22,0.00333978727904047,22,3538.16094690372,22,98.5279218942867,22,124.223630065253,0.919502964878015,0.89081099295604
"23","BLZ",23,0.00181710361136339,23,50.6453060391997,23,2.55395762291117,23,23.8580105337078,0.982946619519067,0.923694738269596
"24","BMU",24,0.00161487609737743,24,169.755820202088,24,4.41263435421115,24,91.9143610094247,0.994705536912339,0.970474196843483
"25","BOL",25,0.00256783003161275,25,300.392882706998,25,5.23936156119476,25,56.2105679905706,0.961059797284461,0.969793088727194
"26","BRA",26,0.0114896225899103,26,11587.7383187981,26,655.409951820675,26,1531.361495931,0.91419014458429,0.836458077697337
"27","BRB",27,0.00238163043896031,27,1234.85204087972,27,20.3831753759668,27,39.5712363588006,0.967695093622867,0.961013537436425
"28","BRN",28,0.00172963118483704,28,145.700544834036,28,4.98048283445104,28,51.8849567212087,0.982650310262834,0.97947926747562
