iso_o,iso_d,log_dist
AFG,AZE,7.507809170618305
AFG,BDI,8.687789104087228
AFG,BEL,8.597135155553776
AFG,BEN,8.920122553903898
AFG,BFA,8.922337581433187
AFG,BGD,7.773585211953459
AFG,BGR,8.304743506345423
AFG,BHR,7.603117005623805
AFG,BHS,9.43496921969137
AFG,BIH,8.395841947268993
AFG,BLR,8.263822364481932
AFG,BLZ,9.534076128604273
AFG,BMU,9.32167242247672
AFG,BOL,9.638867495681048
AFG,BRA,9.530375397643777
AFG,BRB,9.430724118530172
AFG,BRN,8.655413250047193
AFG,BTN,7.651358378428608
AFG,BWA,8.990163291333824
AFG,CAF,8.730418115374718
AFG,CAN,9.284416700772116
AFG,CHE,8.56541995881227
AFG,CHL,9.702221679991233
AFG,CHN,8.338171304718266
AFG,CIV,9.005113356680226
AFG,CMR,8.830853342575612
AFG,COG,8.867932172334402
AFG,COL,9.567223594223483
AFG,COM,8.669813157441517
AFG,CPV,9.140409203283198
AFG,CRI,9.570429381355533
AFG,CUB,9.469036378141864
AFG,CYP,8.08886019489547
AFG,CZE,8.457023566073206
AFG,DEU,8.56149979562602
AFG,DJI,8.207433457739986
AFG,DMA,9.42680325725262
AFG,DNK,8.488318706975848
AFG,DOM,9.450087714270506
AFG,DZA,8.677053710470117
AFG,ECU,9.612506711792758
AFG,EGY,8.18432377683039
AFG,ERI,8.21778611564457
AFG,ESP,8.74679472500144
AFG,EST,8.352063326980586
AFG,ETH,8.341936062686694
AFG,FIN,8.355801626204475
AFG,FJI,9.463458173202184
AFG,FRA,8.628802721250505
AFG,FSM,9.158489448458193
AFG,GAB,8.890642967816834
AFG,GBR,8.651388013922482
AFG,GEO,7.727971579085817
AFG,GHA,8.960144175383967
AFG,GIN,9.100016671177364
AFG,GMB,9.082304820938486
AFG,GNB,9.083076610934722
AFG,GNQ,8.866299283727738
AFG,GRC,8.308561334280354
AFG,GRD,9.4499177452737
AFG,GRL,8.974842696761849
AFG,GTM,9.558008274024791
AFG,GUY,9.46111465440458
AFG,HKG,8.426527947176554
AFG,HND,9.552369994823412
AFG,HRV,8.435592604211632
AFG,HTI,9.461954755266088
AFG,HUN,8.381990460025724
AFG,IDN,8.69964573963044
AFG,IND,6.911640720867115
AFG,IRL,8.71373417132943
AFG,IRN,7.390691174826763
AFG,IRQ,7.734275777173411
AFG,ISL,8.80365777302673
AFG,ISR,8.070653869483204
AFG,ITA,8.504309350025327
AFG,JAM,9.48594429637658
AFG,JOR,8.037940198382506
AFG,JPN,8.744809285981002
AFG,KAZ,7.07341292754364
AFG,KEN,8.560555508582965
AFG,KGZ,6.950541742668692
AFG,KHM,8.394160776847395
AFG,KIR,9.323923489198355
AFG,KNA,9.421130330916272
AFG,KOR,8.543228901647032
AFG,KWT,7.63990824575407
AFG,LAO,8.238779501171878
AFG,LBN,8.035560283472858
AFG,LBR,9.070976805238912
AFG,LBY,8.543468745615167
AFG,LCA,9.432910158718975
AFG,LKA,8.089807881532796
AFG,LSO,9.029708626646295
AFG,LTU,8.304699973421044
AFG,LUX,8.576279878275562
AFG,LVA,8.339566357146623
AFG,MAC,8.414622779795604
AFG,MAR,8.826372924371626
AFG,MDA,8.196152040813057
AFG,MDG,8.759377040311467
AFG,MDV,8.133459437649156
AFG,MEX,9.540080714444654
AFG,MHL,9.273518906250708
AFG,MKD,8.342443773480666
AFG,MLI,8.994248772100292
AFG,MLT,8.498414367854116
AFG,MMR,8.110791244611708
AFG,MNG,8.144256742998683
AFG,MOZ,8.956822403396906
AFG,MRT,9.04251822879521
AFG,MUS,8.734068337263292
AFG,MWI,8.789634359076622
AFG,MYS,8.48597410766981
AFG,NAM,9.03670065867706
AFG,NCL,9.395426437325964
AFG,NER,8.865365994368469
AFG,NGA,8.908109781192076
AFG,NIC,9.563499743525584
AFG,NLD,8.586980413989476
AFG,NOR,8.520109335332455
AFG,NPL,7.444287245243109
AFG,NRU,9.283379844916452
AFG,NZL,9.529666449762423
AFG,OMN,7.370194117210595
AFG,PAK,5.925998128940416
AFG,PAN,9.559518686273272
AFG,PER,9.668473196188168
AFG,PHL,8.63370501943045
AFG,PLW,8.894906077766525
AFG,PNG,9.161991055619072
AFG,POL,8.358895223466167
AFG,PRK,8.515009809571906
AFG,PRT,8.82340384461734
AFG,PRY,9.606599905164952
AFG,PYF,9.664975889411744
AFG,QAT,7.594846660146714
AFG,RUS,8.121933629115887
AFG,RWA,8.657862895564023
