TIME_PERIOD,pageRank_total.wpr,close_total.closeness,outdegree_total.degree,indegree_total.degree,local_clust_tt_total,local_clust_out_total
2000,0.005291005291005252,23683.49666019754,2603.3783276981026,2563.5179450836354,0.9644523147583599,0.9628849254839439
2001,0.005291005291005253,23690.108295381713,2574.614013462107,2551.0183848319066,0.9658186236121588,0.9630199836540213
2002,0.005291005291005246,24424.485038558116,2689.1979125407615,2664.6765335250116,0.9666898455836622,0.9647973740902916
2003,0.005291005291005251,27757.771409274137,3061.9299653010657,3033.1782218358576,0.9664435894746833,0.9630432989278657
2004,0.005291005291005251,32295.794461674886,3593.525708837631,3558.1279754385587,0.9666132971354782,0.9645498991255244
2005,0.005291005291005248,35866.208411448555,4000.1122453197677,3952.165299134197,0.9686925543961235,0.9677442782004877
2006,0.005291005291005251,40584.67126611789,4497.765163100894,4454.546869987522,0.9687547173500619,0.9665484242209871
2007,0.005291005291005251,45754.90299587369,5052.251700028594,5058.599318862736,0.969997327777263,0.9663628054166181
2008,0.0052910052910052525,52959.83641881048,5801.948926328597,5820.465147718162,0.9706174025894838,0.966644419994506
2009,0.0052910052910052525,44046.88693371543,4674.627553853228,4724.099955069238,0.9703347924445171,0.9645468227552838
2010,0.0052910052910052525,50974.702917643976,5418.45907996719,5465.6591683590605,0.9722673582907299,0.9658255882166684
2011,0.005291005291005252,61128.93002792109,6397.455285272049,6430.311120958894,0.9722266093865033,0.9673124338151083
2012,0.005263157894736803,61183.65141900084,6439.0887899807185,6476.232742432433,0.9737309835628692,0.9677997220032705
2013,0.005263157894736801,63034.20551698031,6521.920485150302,6575.375511665338,0.9735055772126977,0.9671892755545539
2014,0.005263157894736801,63738.693603497595,6482.453863415292,6560.761855749823,0.9731116576812229,0.9653569523774241
2015,0.005263157894736804,56154.980395579,5661.62365099444,5784.88000175289,0.97395027259286,0.965910514037939
2016,0.005263157894736802,53680.54822267121,5490.769163205092,5595.290838569251,0.9750543939544815,0.9680545858043513
2017,0.005263157894736802,57708.39297032328,5956.705909887542,6046.093852493627,0.9763259916815628,0.970055779846877
2018,0.005263157894736805,62448.297137174945,6471.348846935892,6543.064360511705,0.9767343236232241,0.9703529213667673
2019,0.005263157894736805,62644.99482669679,6324.712820955097,6395.130128219311,0.9772120585933948,0.9713261443961456
2020,0.005263157894736801,58729.19637742745,5851.634377450646,5914.698617429941,0.9758715864998337,0.9694788381115802
2021,0.005263157894736802,70966.13300105282,7121.2934968483905,7186.471938436876,0.9770043931502802,0.9728608312748585
2022,0.0052631578947367995,79229.63726931268,7934.34913583458,7988.81396954416,0.977720547262443,0.972816695687393
2023,0.005263157894736802,77749.17368439141,7571.793313240125,7665.5710417399305,0.978195903617266,0.9716792326999734
