"","iso_o","pageRank_unique.name","pageRank_unique.wpr","close_unique.name","close_unique.closeness","outdegree_unique.name","outdegree_unique.degree","indegree_unique.name","indegree_unique.degree","local_clust_tt_unique","local_clust_out_unique"
"1","ABW",1,0.0011945863374325,1,6.59815895222543,1,1.48853948636862,1,1.90111822148263,0.985846879024224,0.970921985815603
"2","AFG",2,0.00112833458288092,2,70.9966591338709,2,2.65334036445105,2,1.83856927380822,0.962498390276278,0.993177326625943
"3","AGO",3,0.00228454335650137,3,50.8042015916671,3,2.56957947625488,3,3.02509989906343,0.881976607957754,0.942168042993839
"4","ALB",4,0.00166298805021148,4,22.9518849204347,4,2.22156149833721,4,2.28518848699988,0.977177928733166,0.992981906348447
"5","AND",5,0.00176230915787616,5,845.036225988686,5,53.6948589633809,5,5.17752309273061,0.998835019951181,0.998990886247631
"6","ARE",6,0.0150232214258923,6,597.529587464937,6,59.561077369887,6,95.7122299867166,0.72012452288811,0.693150250229148
"7","ARG",7,0.0028613375877993,7,270.733814976196,7,10.346651794332,7,21.5651351091182,0.970939371196705,0.976364534436433
"8","ARM",8,0.00216378647531845,8,54.7986791784225,8,3.4103427979896,8,7.80254156709175,0.908086619144998,0.969269291811436
"9","ATG",9,0.00135126516346921,9,55.7421073146113,9,2.06413990106904,9,2.54510245205095,0.998882402782037,0.996377514716346
"10","AUS",10,0.00832206412761283,10,505.517214738801,10,39.8948069087899,10,63.2423797753674,0.827059395348981,0.774534436605208
"11","AUT",11,0.0113860612640259,11,1166.22713871076,11,115.824615820177,11,105.998842315652,0.876356291504535,0.932540636016582
"12","AZE",12,0.00135890531166351,12,58.0266819824405,12,3.17328491393505,12,2.65933229704291,0.897274896703009,0.90321859513036
"13","BDI",13,0.00102042456772459,13,2.4472520114313,13,1.50560893829657,13,1.65234405936378,0.691809014200453,0.989247311827957
"14","BEL",14,0.0115701056361646,14,1137.1917745546,14,128.79496745786,14,149.174024818512,0.87789007971746,0.845995916684485
"15","BEN",15,0.00106315386618186,15,21.9535058176867,15,2.15833475744097,15,1.76753264087263,0.96464385135205,0.965324476239141
"16","BFA",16,0.000979528168833459,16,28.7530591379314,16,2.44762289406781,16,1.52236934220146,0.876892944314017,0.879525502430531
"17","BGD",17,0.00130253707394768,17,11.5537408508287,17,2.0359043662899,17,2.00262724268928,0.961247067519363,0.934187698451668
"18","BGR",18,0.00235631740091891,18,99.4909631949922,18,4.68749450797646,18,4.97206593797092,0.937488817087375,0.961386627367282
"19","BHR",19,0.00224844183321012,19,92.3091174144512,19,3.3524149362183,19,6.68510963002655,0.96720490475036,0.958347488248847
"20","BHS",20,0.00322149958561909,20,353.568225806873,20,11.0663025437738,20,42.0434814447338,0.998600499372147,0.999629966600691
"21","BIH",21,0.00192284905236586,21,39.8230858329767,21,2.82995935722265,21,9.83978386983227,0.991473173958763,0.977351752021564
"22","BLR",22,0.00172938988717188,22,128.881462480657,22,4.187503752783,22,3.13020932900111,0.916557465407904,0.945940243604045
"23","BLZ",23,0.00150754035473189,23,13.3347078200701,23,1.6780208525523,23,4.34508181324884,0.996661191258392,0.976728723404255
"24","BMU",24,0.00202298391134296,24,69.0142282376842,24,2.6386816871705,24,4.59279359729377,0.932203433621498,0.907056351952546
"25","BOL",25,0.00134131923038556,25,44.2955205973669,25,2.28585042860769,25,1.96629670715115,0.960510550312798,0.999131054131054
"26","BRA",26,0.00349072951136691,26,929.590672002833,26,70.1079559084081,26,32.3288125802371,0.951348285242334,0.93447309531528
"27","BRB",27,0.00192445529028096,27,23.1251472908745,27,2.02079358667556,27,2.76419248459562,0.939608347806854,0.96147164863979
"28","BRN",28,0.00181674783522869,28,23.3817144284559,28,1.72019248069168,28,2.5983034889716,0.961600782867936,1
"29","BTN",29,0.00120524820509309,29,7.20547096961845,29,1.67284978791587,29,1.92377498975884,0.962989563117923,0.972396195778242
"30","BWA",30,0.00144907159758039,30,25.7233513888056,30,2.19287517023,30,1.91793508852524,0.909209532072092,0.979277879341865
"31","CAF",31,0.00119398372821337,31,18.6374800314153,31,1.89508824217071,31,1.78033843495684,0.992214485443281,0.993836132644272
"32","CAN",32,0.0124923242189512,32,1048.73406240475,32,75.9138324267887,32,98.7771588788169,0.885169547504012,0.952609470162569
"33","CHE",33,0.0493871821855241,33,1836.65319759637,33,497.984760027914,33,612.8430666682,0.824204079584803,0.80940591242408
"34","CHL",34,0.00288229552606328,34,235.359543184496,34,7.39683602388024,34,6.99667312679978,0.942755647043837,0.954381176659657
"35","CHN",35,0.0219886555157009,35,1223.64011632026,35,275.567148364045,35,206.922792025624,0.670951410098561,0.57226115582875
"36","CIV",36,0.00246797616499363,36,132.092418600859,36,5.33081250876251,36,3.19392742287053,0.865786996049835,0.874867241633024
"37","CMR",37,0.00176656119117008,37,125.554165839085,37,4.14528756065152,37,2.19457112548212,0.94185083770311,0.926321738732625
"38","COG",38,0.00117122763948013,38,85.0169691118031,38,2.99106934369601,38,1.80110201083877,0.983311726888119,0.984443370647768
"39","COL",39,0.00201046750467009,39,446.758996034634,39,21.8616468574534,39,6.28546811577116,0.92491319006245,0.907651775530302
"40","COM",40,0.000989915721606939,40,1.15946688975367,40,1.33229509035641,40,1.58347624362096,0.577725334957369,0.895348837209302
"41","CPV",41,0.00125108972553798,41,3.24302678153173,41,1.45446704660775,41,1.68476977812693,0.907413865253173,0.882608695652174
"42","CRI",42,0.00304141663838158,42,88.0925746473509,42,3.47974976941337,42,3.60163196737433,0.921630915648757,0.968010813054603
"43","CUB",43,0.00135807824163233,43,216.969648289415,43,6.83460321145347,43,2.08638478132757,0.980536787595463,0.982520722382008
"44","CYP",44,0.00379023900317278,44,328.787379642349,44,26.185909484777,44,26.2038788869405,0.80883051499507,0.794799967323416
"45","CZE",45,0.0037009823360634,45,326.50868205834,45,16.4390243539486,45,26.8127737056149,0.914222548365608,0.907179553250769
"46","DEU",46,0.025748784895155,46,1755.22527260644,46,397.207877298818,46,281.602892133689,0.853758295357178,0.86971389595072
"47","DJI",47,0.00092366199973428,47,4.33337019760826,47,1.63088745742271,47,1.55093109855132,0.986258542969318,0.983828899321857
"48","DMA",48,0.00148267820485355,48,12.2566857254625,48,1.52605301425392,48,1.57513898621362,0.91727328809377,0.975568181818182
