TIME_PERIOD,pageRank_total.wpr,close_total.closeness,outdegree_total.degree,indegree_total.degree,local_clust_tt_total,local_clust_out_total
2000,0.01022780396877423,23334.45502217474,5684.2631934743795,6244.273896560322,0.021361031812510395,0.027668486172074923
2001,0.010146332052007495,23186.47892089937,5618.695347936907,6083.2724451479335,0.02025012872595542,0.028698518097700576
2002,0.010072304157140778,23680.278991860174,5803.240860733604,6305.420987928758,0.019799609355503893,0.027203853387819332
2003,0.009884553618699412,26587.394030456027,6520.794167525842,7037.419735932769,0.01945967520692001,0.027708773393602573
2004,0.009660664476185568,30866.454391422707,7517.8629709484485,8123.617124504794,0.019135076363464648,0.026995023001747595
2005,0.009554735660559366,33938.33357658718,8208.65649790662,8936.341981186564,0.01773914264513932,0.024600278113613445
2006,0.009323383066016072,38270.64103572495,9150.574425547247,9846.078618101814,0.01752888637787108,0.025419122614523382
2007,0.008880475327423951,43500.68135094356,10348.538584967975,10733.349228644709,0.01659642205633697,0.02532027990050344
2008,0.008445140752017523,49443.049963234494,11508.339378566114,11837.721472784468,0.01702576855870826,0.024846035743501745
2009,0.008420065313674138,40752.21516511993,9448.695028989017,9507.888475840617,0.017343161463941572,0.026064005211517336
2010,0.008414413850338347,47996.54651125702,10902.840776853862,11050.93581680423,0.01608826075002737,0.026888233895495436
2011,0.00837475620464532,56342.92272346557,12588.044058680669,12912.131661373543,0.01791167830796761,0.0268186555996159
2012,0.00833735444196316,56770.70349725299,12699.20559640546,12984.33107043183,0.016041175287737734,0.02542241024739162
2013,0.008256888777464853,58772.28065446811,12912.168674413808,13087.518435053524,0.016505808063160807,0.024993302956560912
2014,0.008337122935018907,60058.396008180694,13096.77857818942,13119.838728462082,0.016105540749957382,0.027605279362946045
2015,0.008444060749053253,53966.547720745126,12002.830969059374,11722.309130239479,0.016825269170116064,0.027855058879471043
2016,0.00848804444306444,51740.23073795177,11650.00564448273,11467.414913820729,0.01470792635666298,0.02439645123197747
2017,0.008518635367072003,55113.26935023179,12434.668185502995,12363.729476192486,0.013537387509067203,0.023403575016773297
2018,0.008616546882416804,59948.49044959497,13363.552423492652,13480.990001239603,0.014120351957463676,0.024201292416107113
2019,0.008663041718316299,59087.61673772395,13096.196064262953,13212.242190150784,0.013622872316862085,0.022382481374918575
2020,0.008733906105799867,55630.94991556763,12347.472684616336,12463.309314307895,0.01671440408746554,0.027205056310334066
2021,0.00872193696396798,67451.88032000771,14776.624199583901,14935.2595240801,0.016805302149891226,0.02485355267834885
2022,0.008575149260431209,74553.89959440846,16156.288684908277,16375.442488421395,0.013948533721082967,0.023597734235377577
2023,0.008473433151868706,72782.65213631568,15526.757798019138,15601.349117537125,0.014242918311187855,0.028004560131021712
