country,iso_o,year,gdp_pc,trade_ratio,log_gdp_pc,D_log_gdp_pc,landlocked,continent,lat,lon,langoff_1,colonizer1,category,development
Aruba,ABW,1996,34419.43,175.34,10.446377,-0.027719498,0,America,12.55,-70.099998,Dutch,NLD,Emerging and Developing Economies,0.0
Afghanistan,AFG,1996,15850.788,69.986649,9.6709747,0.019962311,1,Asia,34.516666,69.199997,Persian,,Emerging and Developing Economies,0.0
Angola,AGO,1996,6567.6802,69.986649,8.789916,0.093208313,0,Africa,-8.833333,13.25,Portuguese,PRT,Emerging and Developing Economies,0.0
Albania,ALB,1996,5563.79,44.41,8.6240349,0.077011108,0,Europe,41.333332,19.816668,Albanian,TUR,Emerging and Developing Economies,0.0
Andorra,AND,1996,46386.09,69.986649,10.744755,0.044322968,0,Europe,42.5,1.5,Catalan,,Advanced Economies,1.0
United Arab Emirates,ARE,1996,103653.47,69.986649,11.548809,-0.0084009171,0,Asia,24.466667,54.416668,Arabic,GBR,Emerging and Developing Economies,0.0
Argentina,ARG,1996,21695.59,21.51,9.9848642,0.041218758,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
Armenia,ARM,1996,3717.3401,79.230003,8.2207632,0.065756798,1,Asia,40.183334,44.5,Armenian,TUR,Emerging and Developing Economies,0.0
Antigua and Barbuda,ATG,1996,22597.311,69.986649,10.025586,0.043306351,0,America,17.133333,-61.833332,English,GBR,Emerging and Developing Economies,0.0
Australia,AUS,1996,39663.16,38.169998,10.588178,0.025789261,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
Austria,AUT,1996,47608.629,70.470001,10.770769,0.020565033,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
Azerbaijan,AZE,1996,4223.52,80.849998,8.348424,0.0027971268,1,Asia,40.366665,49.883335,Azeri,RUS,Emerging and Developing Economies,0.0
Burundi,BDI,1996,1088.79,69.986649,6.9928222,-0.084068298,1,Africa,-3.3666666,29.316668,French,BEL,Emerging and Developing Economies,0.0
Belgium,BEL,1996,44808.52,119.21,10.710154,0.011173248,0,Europe,50.833332,4.3499999,Dutch,,Advanced Economies,1.0
Benin,BEN,1996,2337.6299,56.52,7.7568927,0.016167641,0,Africa,6.5,2.7833333,French,FRA,Emerging and Developing Economies,0.0
Burkina Faso,BFA,1996,1280.7,38.18,7.1551619,0.078905106,1,Africa,12.333333,-1.6666666,French,FRA,Emerging and Developing Economies,0.0
Bangladesh,BGD,1996,2413.54,26.08,7.7888498,0.025956154,0,Asia,23.700001,90.366669,Bengali,GBR,Emerging and Developing Economies,0.0
Bulgaria,BGR,1996,14372.83,85.82,9.5730953,0.055902481,0,Europe,42.666668,23.299999,Bulgarian,TUR,Emerging and Developing Economies,0.0
Bahrain,BHR,1996,54289.441,144.33,10.902085,0.013944626,0,Asia,26.200001,50.633335,Arabic,GBR,Emerging and Developing Economies,0.0
"Bahamas, The",BHS,1996,30907.82,105.86,10.338764,0.025547981,0,America,25.083334,-77.333336,English,GBR,Emerging and Developing Economies,0.0
Bosnia and Herzegovina,BIH,1996,4569.0,107.5,8.4270496,0.39099693,0,Europe,43.866665,18.433332,Serbo-Croatian,TUR,Emerging and Developing Economies,0.0
Belarus,BLR,1996,8314.8604,96.769997,9.0257998,0.030982018,0,Europe,53.849998,27.5,Belarussian,RUS,Emerging and Developing Economies,0.0
Belize,BLZ,1996,9782.6396,79.57,9.188365,-0.018754959,0,America,17.216667,-88.800003,English,GBR,Emerging and Developing Economies,0.0
Bermuda,BMU,1996,82122.781,69.986649,11.31597,0.020862579,0,America,32.299999,-64.800003,English,GBR,,1.0
Bolivia,BOL,1996,7083.6099,49.860001,8.8655386,0.024186134,1,America,-16.5,-68.166664,Spanish,ESP,Emerging and Developing Economies,0.0
Brazil,BRA,1996,13641.63,15.64,9.5208817,0.0067071915,0,America,-15.78,-47.91,Portuguese,PRT,Emerging and Developing Economies,0.0
Barbados,BRB,1996,19112.5,69.986649,9.858098,0.038060188,0,America,13.1,-59.616665,English,GBR,Emerging and Developing Economies,0.0
Brunei Darussalam,BRN,1996,102522.13,80.489998,11.537834,-0.024298668,0,Asia,4.9333334,114.96667,Malay,GBR,Emerging and Developing Economies,0.0
Bhutan,BTN,1996,4616.9199,84.629997,8.4374828,0.052708626,1,Asia,27.533333,89.75,Burmese,,Emerging and Developing Economies,0.0
Botswana,BWA,1996,11832.94,90.959999,9.3786421,0.032224655,1,Africa,-24.75,25.916666,English,GBR,Emerging and Developing Economies,0.0
Central African Republic,CAF,1996,1247.97,47.080002,7.1292734,-0.066738605,1,Africa,4.3833332,18.616667,French,FRA,Emerging and Developing Economies,0.0
Canada,CAN,1996,41880.551,70.260002,10.642577,0.0062961578,0,America,45.419998,-75.709999,English,GBR,Advanced Economies,1.0
Switzerland,CHE,1996,61471.172,78.75,11.026323,0.00028514862,1,Europe,46.950001,7.4333334,German,,Advanced Economies,1.0
Chile,CHL,1996,15744.74,53.919998,9.6642618,0.054606438,0,America,-33.5,-70.666664,Spanish,ESP,Emerging and Developing Economies,0.0
China,CHN,1996,3055.97,33.630001,8.0248528,0.084614277,0,Asia,39.916668,116.43333,Chinese,,Emerging and Developing Economies,0.0
Cote d'Ivoire,CIV,1996,4807.4199,52.799999,8.4779158,0.035713196,0,Africa,5.3166666,-4.0166669,French,FRA,Emerging and Developing Economies,0.0
Cameroon,CMR,1996,3577.5901,45.119999,8.1824446,0.014371872,0,Africa,3.8499999,11.516666,French,FRA,Emerging and Developing Economies,0.0
"Congo, Rep.",COG,1996,7812.0498,128.41,8.9634228,0.014275551,0,Africa,-4.2333331,15.233334,French,FRA,Emerging and Developing Economies,0.0
Colombia,COL,1996,11303.13,36.040001,9.3328352,0.0021371841,0,America,4.6333332,-75.066666,Spanish,ESP,Emerging and Developing Economies,0.0
Comoros,COM,1996,2892.0801,35.759998,7.9697313,-0.022337914,0,Africa,-11.666667,43.266666,Arabic,FRA,Emerging and Developing Economies,0.0
Cabo Verde,CPV,1996,3022.8899,75.489998,8.0139685,0.089751244,0,Africa,14.916667,-23.5,Portuguese,PRT,Emerging and Developing Economies,0.0
Costa Rica,CRI,1996,12467.62,84.059998,9.4308901,-0.010025024,0,America,9.9833336,-84.066666,Spanish,ESP,Emerging and Developing Economies,0.0
Cuba,CUB,1996,15850.788,32.630001,9.6709747,0.019962311,0,America,23.116667,-82.416664,Spanish,ESP,,0.0
Cyprus,CYP,1996,31282.74,140.85001,10.350821,-0.0035305023,0,Europe,35.150002,33.349998,Greek,GBR,Advanced Economies,1.0
Czechia,CZE,1996,28021.67,80.599998,10.240733,0.042003632,1,Europe,50.099998,14.433333,Czech,AUT,Advanced Economies,1.0
Germany,DEU,1996,45814.852,43.900002,10.732364,0.0074300766,0,Europe,52.533001,13.417,German,,Advanced Economies,1.0
Djibouti,DJI,1996,15850.788,69.986649,9.6709747,0.019962311,0,Africa,11.6,43.150002,French,FRA,Emerging and Developing Economies,0.0
Dominica,DMA,1996,12737.9,69.986649,9.4523373,0.031419754,0,America,15.3,-61.383335,English,GBR,Emerging and Developing Economies,0.0
Denmark,DNK,1996,52106.559,68.529999,10.861046,0.022886276,0,Europe,55.666668,12.583333,Danish,,Advanced Economies,1.0
Dominican Republic,DOM,1996,9036.8799,72.639999,9.1090689,0.03971386,0,America,18.5,-69.783333,Spanish,FRA,Emerging and Developing Economies,0.0
Algeria,DZA,1996,10808.88,53.709999,9.2881231,0.020605087,0,Africa,36.833332,3.0,Arabic,FRA,Emerging and Developing Economies,0.0
Ecuador,ECU,1996,9509.2803,44.220001,9.1600237,-0.0016708374,0,America,-0.23333333,-78.5,Spanish,ESP,Emerging and Developing Economies,0.0
"Egypt, Arab Rep.",EGY,1996,8662.3301,46.950001,9.0667391,0.027949333,0,Africa,30.049999,31.25,Arabic,GBR,Emerging and Developing Economies,0.0
Eritrea,ERI,1996,15850.788,116.62,9.6709747,0.019962311,0,Africa,15.333333,38.883335,English,GBR,Emerging and Developing Economies,0.0
Spain,ESP,1996,34232.379,46.299999,10.440928,0.021574974,0,Europe,40.416668,-3.7166667,Spanish,,Advanced Economies,1.0
Estonia,EST,1996,15667.59,132.98,9.6593494,0.063000679,0,Europe,59.416668,24.75,Estonian,RUS,Advanced Economies,1.0
Ethiopia,ETH,1996,826.98999,69.986649,6.7177925,0.084132195,1,Africa,9.0500002,38.833332,Amharic,,Emerging and Developing Economies,0.0
Finland,FIN,1996,38301.512,65.790001,10.553245,0.032691002,0,Europe,60.133335,25.0,Swedish,RUS,Advanced Economies,1.0
Fiji,FJI,1996,8956.3496,69.986649,9.1001177,0.040589333,0,Pacific,-18.133333,178.41667,English,GBR,Emerging and Developing Economies,0.0
France,FRA,1996,40990.738,46.110001,10.621101,0.010299683,0,Europe,48.866665,2.3333333,French,,Advanced Economies,1.0
"Micronesia, Fed. Sts.",FSM,1996,3526.0901,102.98,8.1679449,-0.038306236,0,Pacific,6.9166665,158.25,English,ESP,Emerging and Developing Economies,0.0
Gabon,GAB,1996,24595.971,95.669998,10.110338,0.010290146,0,Africa,0.38333333,9.416667,French,FRA,Emerging and Developing Economies,0.0
United Kingdom,GBR,1996,37465.379,52.060001,10.531173,0.023266792,0,Europe,51.5,-0.16666667,English,,Advanced Economies,1.0
Georgia,GEO,1996,4339.0,45.700001,8.3753996,0.14247799,0,Asia,41.716667,44.816666,Georgian,RUS,Emerging and Developing Economies,0.0
Ghana,GHA,1996,3106.1899,72.199997,8.041152,0.021640778,0,Africa,5.5500002,-0.25,English,GBR,Emerging and Developing Economies,0.0
Guinea,GIN,1996,2205.3201,29.860001,7.6986279,0.015348434,0,Africa,9.5166664,-15.716666,French,FRA,Emerging and Developing Economies,0.0
"Gambia, The",GMB,1996,2439.05,50.950001,7.7993641,-0.006925106,0,Africa,13.466666,-16.65,English,GBR,Emerging and Developing Economies,0.0
Guinea-Bissau,GNB,1996,2185.77,42.360001,7.6897235,0.088911057,0,Africa,11.866667,-15.65,Portuguese,PRT,Emerging and Developing Economies,0.0
Equatorial Guinea,GNQ,1996,3033.8401,69.986649,8.0175848,0.47213173,0,Africa,3.75,8.8000002,Spanish,ESP,Emerging and Developing Economies,0.0
Greece,GRC,1996,27905.109,36.82,10.236565,0.0093231201,0,Europe,38.0,23.733334,Greek,TUR,Advanced Economies,1.0
Grenada,GRD,1996,9076.7197,69.986649,9.1134682,0.036565781,0,America,12.066667,-61.733334,English,GBR,Emerging and Developing Economies,0.0
Greenland,GRL,1996,38090.711,69.986649,10.547726,0.013390541,0,America,64.183334,-51.733334,Greenlandic,DNK,,1.0
Guatemala,GTM,1996,8222.0703,40.389999,9.0145769,0.0032548904,0,America,14.633333,-90.51667,Spanish,ESP,Emerging and Developing Economies,0.0
Guyana,GUY,1996,7612.2998,211.34,8.937521,0.073734283,0,America,6.7666669,-58.166668,English,GBR,Emerging and Developing Economies,0.0
"Hong Kong SAR, China",HKG,1996,37804.07,244.85001,10.540172,-0.0026836395,0,Asia,22.266666,114.15,English,GBR,Advanced Economies,1.0
Honduras,HND,1996,3054.1599,122.73,8.0242596,0.17844009,0,America,14.083333,-87.23333,Spanish,ESP,Emerging and Developing Economies,0.0
Croatia,HRV,1996,18849.98,67.050003,9.8442669,0.073011398,0,Europe,45.799999,15.966666,Serbo-Croatian,AUT,Advanced Economies,1.0
Haiti,HTI,1996,3237.02,40.220001,8.0824089,0.02158165,0,America,18.549999,-72.333336,French,,Emerging and Developing Economies,0.0
Hungary,HUN,1996,19029.109,83.019997,9.8537254,0.0027294159,1,Europe,47.5,19.049999,Hungarian,,Emerging and Developing Economies,0.0
Indonesia,IDN,1996,6695.4102,52.259998,8.8091774,0.058822632,0,Asia,-6.1333332,106.75,Indonesian,NLD,Emerging and Developing Economies,0.0
India,IND,1996,2680.28,21.93,7.8936768,0.052804947,0,Asia,28.616667,77.216667,English,GBR,Emerging and Developing Economies,0.0
Ireland,IRL,1996,38452.949,138.87,10.557191,0.063287735,0,Europe,53.333332,-6.25,English,GBR,Advanced Economies,1.0
"Iran, Islamic Rep.",IRN,1996,11010.01,35.220001,9.3065605,0.050765991,0,Asia,35.666668,51.433334,Persian,,Emerging and Developing Economies,0.0
Iraq,IRQ,1996,6419.3701,0.029999999,8.7670755,0.072628975,0,Asia,33.333332,44.433334,Arabic,TUR,Emerging and Developing Economies,0.0
Iceland,ISL,1996,42475.691,68.699997,10.656687,0.0385952,0,Europe,64.150002,-21.966667,Icelandic,DNK,Advanced Economies,1.0
Israel,ISR,1996,30386.199,58.130001,10.321744,0.03058815,0,Asia,32.083332,34.766666,Hebrew,GBR,Advanced Economies,1.0
Italy,ITA,1996,46008.238,42.799999,10.736576,0.013085365,0,Europe,41.883335,12.5,Italian,,Advanced Economies,1.0
Jamaica,JAM,1996,10147.46,69.986649,9.2249784,-0.010816574,0,America,17.966667,-76.800003,English,GBR,Emerging and Developing Economies,0.0
Jordan,JOR,1996,7731.48,131.06,8.9530554,-0.012544632,0,Asia,31.950001,35.933334,Arabic,GBR,Emerging and Developing Economies,0.0
Japan,JPN,1996,38528.789,18.25,10.559161,0.028589249,0,Asia,35.666668,139.75,Japanese,,Advanced Economies,1.0
Kazakhstan,KAZ,1996,10857.44,71.269997,9.2926064,0.023965836,1,Asia,51.169998,71.470001,Kazakh,RUS,Emerging and Developing Economies,0.0
Kenya,KEN,1996,3941.4099,57.310001,8.279294,0.013103485,0,Africa,-1.2833333,36.833332,English,GBR,Emerging and Developing Economies,0.0
Kyrgyz Republic,KGZ,1996,3138.6699,87.300003,8.0515547,0.053652763,1,Asia,42.900002,74.599998,Kyrgyz,RUS,Emerging and Developing Economies,0.0
Cambodia,KHM,1996,1643.02,69.160004,7.4042912,-0.01792717,0,Asia,11.583333,104.91666,Khmer,FRA,Emerging and Developing Economies,0.0
Kiribati,KIR,1996,2455.5,86.68,7.8060856,-0.017476559,0,Pacific,1.3833333,173.14999,English,GBR,Emerging and Developing Economies,0.0
St. Kitts and Nevis,KNA,1996,17340.221,69.986649,9.7607841,0.043850899,0,America,17.283333,-62.716667,English,GBR,Emerging and Developing Economies,0.0
"Korea, Rep.",KOR,1996,22139.801,51.610001,10.005133,0.067344666,0,Asia,37.5,127.0,Korean,JPN,Advanced Economies,1.0
Kuwait,KWT,1996,62665.219,91.470001,11.045562,-0.022536278,0,Asia,29.333334,48.0,Arabic,GBR,Emerging and Developing Economies,0.0
Lao PDR,LAO,1996,2473.77,63.759998,7.8134985,0.043676376,1,Asia,17.983334,102.63333,Lao,FRA,Emerging and Developing Economies,0.0
Lebanon,LBN,1996,11757.28,68.099998,9.3722277,0.088410378,0,Asia,33.866665,35.5,Arabic,FRA,Emerging and Developing Economies,0.0
Liberia,LBR,1996,582.67999,69.986649,6.3676381,0.085726738,0,Africa,6.3333335,-10.766666,English,FRA,Emerging and Developing Economies,0.0
Libya,LBY,1996,17809.15,52.549999,9.787468,0.0048341751,0,Africa,32.733334,13.116667,Arabic,TUR,Emerging and Developing Economies,0.0
St. Lucia,LCA,1996,18301.15,69.986649,9.8147192,0.013885498,0,America,14.016666,-60.983334,English,GBR,Emerging and Developing Economies,0.0
Sri Lanka,LKA,1996,5624.02,78.870003,8.6348019,0.018069267,0,Asia,6.9166665,79.866669,Sinhala,GBR,Emerging and Developing Economies,0.0
Lesotho,LSO,1996,1786.1801,69.986649,7.4878345,0.043766975,1,Africa,-29.316668,27.483334,English,GBR,Emerging and Developing Economies,0.0
Lithuania,LTU,1996,12873.2,92.809998,9.462903,0.056650162,0,Europe,54.683334,25.316668,Lithuanian,RUS,Advanced Economies,1.0
Luxembourg,LUX,1996,92416.523,195.64,11.434061,0.00027275085,1,Europe,49.599998,6.1500001,French,NLD,Advanced Economies,1.0
Latvia,LVA,1996,11077.86,92.559998,9.3127041,0.034003258,0,Europe,56.950001,24.1,Latvian,RUS,Advanced Economies,1.0
"Macao SAR, China",MAC,1996,59115.23,122.34,10.987244,-0.018279076,0,Asia,22.27,113.56,Portuguese,PRT,Advanced Economies,1.0
Morocco,MAR,1996,4916.48,47.099998,8.5003481,0.10098648,0,Africa,34.033333,-6.8499999,Arabic,FRA,Emerging and Developing Economies,0.0
Moldova,MDA,1996,6063.1401,129.24001,8.7099829,-0.058566093,0,Europe,47.0,28.833334,Romanian,RUS,Emerging and Developing Economies,0.0
Madagascar,MDG,1996,1643.33,35.880001,7.40448,-0.010857582,0,Africa,-18.866667,47.5,French,FRA,Emerging and Developing Economies,0.0
Maldives,MDV,1996,11495.1,69.986649,9.3496761,0.053692818,0,Asia,4.1666665,73.466667,Maldivian,GBR,Emerging and Developing Economies,0.0
Mexico,MEX,1996,17775.869,47.77,9.7855968,0.042975426,0,America,19.416666,-99.166664,Spanish,ESP,Emerging and Developing Economies,0.0
Marshall Islands,MHL,1996,4174.8101,113.29,8.3368244,-0.11922264,0,Pacific,7.1500001,171.2,English,,Emerging and Developing Economies,0.0
North Macedonia,MKD,1996,10551.57,57.919998,9.2640295,0.0047912598,1,Europe,42.0,21.466667,Macedonian,TUR,Emerging and Developing Economies,0.0
Mali,MLI,1996,2105.28,38.990002,7.6522036,0.040163517,1,Africa,12.666667,-7.9833331,French,FRA,Emerging and Developing Economies,0.0
Malta,MLT,1996,23002.211,164.10001,10.043345,0.030511856,0,Europe,35.900002,14.533334,English,GBR,Advanced Economies,1.0
Myanmar,MMR,1996,1011.16,69.986649,6.9188533,0.049620628,0,Asia,16.783333,96.166664,Burmese,GBR,Emerging and Developing Economies,0.0
Mongolia,MNG,1996,5494.3198,77.970001,8.6114702,0.0066890717,1,Asia,47.900002,106.86667,Mongolian,CHN,Emerging and Developing Economies,0.0
Mozambique,MOZ,1996,562.85999,51.029999,6.3330307,0.068832874,0,Africa,-25.966667,32.583332,Portuguese,PRT,Emerging and Developing Economies,0.0
Mauritania,MRT,1996,5650.3398,70.459999,8.6394711,0.036785126,0,Africa,18.15,-15.966666,Arabic,FRA,Emerging and Developing Economies,0.0
Mauritius,MUS,1996,11336.6,126.16,9.3357916,0.04414463,0,Africa,-20.166666,57.5,English,GBR,Emerging and Developing Economies,0.0
Malawi,MWI,1996,1200.3199,69.986649,7.0903435,0.050893307,1,Africa,-13.966666,33.816666,English,GBR,Emerging and Developing Economies,0.0
Malaysia,MYS,1996,17771.711,181.77,9.7853632,0.070103645,0,Asia,3.1333334,101.7,Malay,GBR,Emerging and Developing Economies,0.0
Namibia,NAM,1996,7538.9199,96.540001,8.9278345,0.00436306,0,Africa,-22.566668,17.1,English,DEU,Emerging and Developing Economies,0.0
New Caledonia,NCL,1996,15850.788,43.09,9.6709747,0.019962311,0,Pacific,-22.266666,166.45,French,FRA,,1.0
Niger,NER,1996,1239.48,36.540001,7.122447,-0.032433987,1,Africa,13.533334,2.0833333,French,FRA,Emerging and Developing Economies,0.0
Nigeria,NGA,1996,4869.8198,69.986649,8.4908123,0.014960289,0,Africa,6.4499998,3.4666667,English,GBR,Emerging and Developing Economies,0.0
Nicaragua,NIC,1996,4311.4902,48.48,8.3690386,0.042935371,0,America,12.1,-86.300003,Spanish,ESP,Emerging and Developing Economies,0.0
Netherlands,NLD,1996,48095.969,108.66,10.780953,0.029019356,0,Europe,52.349998,4.9000001,Dutch,,Advanced Economies,1.0
Norway,NOR,1996,69764.383,70.199997,11.152879,0.043987274,0,Europe,59.916668,10.75,Norwegian,,Advanced Economies,1.0
Nepal,NPL,1996,2105.51,58.459999,7.6523132,0.029839993,1,Asia,27.700001,85.316666,Nepali,,Emerging and Developing Economies,0.0
Nauru,NRU,1996,12636.18,69.986649,9.4443197,-0.12800694,0,Pacific,-0.53333336,166.91667,Nauruan,GBR,Emerging and Developing Economies,0.0
