"","iso_o","pageRank_unique.name","pageRank_unique.wpr","close_unique.name","close_unique.closeness","outdegree_unique.name","outdegree_unique.degree","indegree_unique.name","indegree_unique.degree","local_clust_tt_unique","local_clust_out_unique"
"1","ABW",1,0.00151968505122739,1,6.44818603717073,1,1.19760662136334,1,2.05683325312923,0.984602710479903,1
"2","AFG",2,0.00125586117309724,2,150.622945119794,2,4.05393915812765,2,1.55808309149043,0.995629825019083,0.996836101920004
"3","AGO",3,0.00200350755276586,3,38.0399118803105,3,2.39741328674142,3,2.9647439572566,0.830347564633233,0.820129687059487
"4","ALB",4,0.00157987301908098,4,48.5372298892053,4,2.77228864311251,4,2.14736132440788,0.995981239454653,0.990420098603608
"5","AND",5,0.00184911056859751,5,36.2391337734492,5,2.50039489735871,5,9.97453676477724,0.98299073746362,0.991321582512316
"6","ARE",6,0.0144842708727941,6,855.473633330592,6,79.7004490060481,6,145.224402434601,0.804372609503898,0.799905831423901
"7","ARG",7,0.00225470925636904,7,460.270663189339,7,18.1084256767575,7,10.9708456032815,0.985220554696687,0.989203301537385
"8","ARM",8,0.00156108738070621,8,58.2278619615253,8,2.69375953683749,8,2.10177239619776,0.985103371672221,0.987878013063388
"9","ATG",9,0.00159949319786646,9,7.72402593898573,9,1.67717322338247,9,2.09752858086913,0.886623711340206,0.837824675324675
"10","AUS",10,0.00839855326036136,10,465.933984633788,10,42.2704494810585,10,69.2220740577314,0.853312741817785,0.835769705791835
"11","AUT",11,0.00839089160312038,11,951.883546800524,11,95.8371105491733,11,88.1761071219351,0.90952195390443,0.94313971974541
"12","AZE",12,0.00193146855448664,12,94.960561861346,12,4.09194437984632,12,4.81870401936357,0.966372898116497,0.961473723476319
"13","BDI",13,0.000931814816780485,13,1.12760198266566,13,1.56439429401178,13,1.56439429401178,0.901413427561838,0.964285714285714
"14","BEL",14,0.0106920119797754,14,1167.89832597574,14,124.034440380022,14,126.806195817812,0.920513487754583,0.921526231133722
"15","BEN",15,0.00148525236642656,15,57.3060950729812,15,2.51040236271882,15,2.05711253627936,0.986838410663239,0.987876419433664
"16","BFA",16,0.00139955649073505,16,40.9692023405931,16,2.67142146554485,16,2.55801245216352,0.973195024007133,0.93879764835486
"17","BGD",17,0.00177133452008899,17,34.2706485044573,17,2.73440223381121,17,2.67857737109315,0.893215844203313,0.789515568659856
"18","BGR",18,0.00231540279229165,18,141.764283301856,18,5.34685868470331,18,3.45518508857475,0.943898219249694,0.961505616100344
"19","BHR",19,0.00240887734047055,19,32.8427852764495,19,2.46172513710481,19,6.45071479811695,0.908737045873815,0.919794636258051
"20","BHS",20,0.00320713136628565,20,98.1214109250682,20,3.79008954925396,20,39.0207047525503,0.996069630424876,0.989971983361455
"21","BIH",21,0.00167994714062065,21,60.6833372507441,21,2.62735054409523,21,2.07628934213259,0.945777163203153,0.947424544157733
"22","BLR",22,0.00206602511195564,22,54.7452114691595,22,2.96545290453794,22,3.72531920034435,0.928739038532472,0.936448822681403
"23","BLZ",23,0.00157090972974033,23,6.53576927098668,23,1.59413866825115,23,3.91451114058472,0.938406301018716,0.983304647160069
"24","BMU",24,0.00223117192181481,24,97.8293873071017,24,2.76360146280185,24,19.1149266255119,0.984116405080036,0.998955220254149
"25","BOL",25,0.00166613257767545,25,61.4831532076662,25,2.59466681103829,25,2.20096851785727,0.954617291845764,0.983573113207547
"26","BRA",26,0.00521222357734832,26,936.656832273957,26,93.1098749584044,26,59.8758680410983,0.959244167825967,0.964959641044812
"27","BRB",27,0.00169117531071736,27,23.9098720453763,27,2.06865371947998,27,2.35374641793858,0.924164818567262,0.913007801990853
"28","BRN",28,0.00154771295468367,28,34.0526689207308,28,2.02513190343225,28,1.81789129074174,0.982888249794577,0.999287352048088
"29","BTN",29,0.00118423225227145,29,29.8911928386434,29,2.05884916161955,29,1.90275112323452,0.959875728714344,0.997950932394521
"30","BWA",30,0.00150927223164519,30,62.7093429186129,30,2.46899363570363,30,1.96318786210522,0.886303956871372,0.907026547306683
"31","CAF",31,0.00112843804725518,31,41.416250150716,31,1.87988393516794,31,1.64330648695962,0.99889557840416,0.998629215807987
"32","CAN",32,0.0107536397842114,32,995.019457277803,32,82.1015841091558,32,99.3103727625572,0.889992586127904,0.922359326580055
"33","CHE",33,0.0651473543402922,33,1726.89991962264,33,520.70913833076,33,729.684432294628,0.882795476258144,0.887239839741632
"34","CHL",34,0.00261667247001901,34,179.880144350167,34,5.81097075737264,34,9.4005936683477,0.960075575050421,0.964677765206737
"35","CHN",35,0.0155178373528238,35,1120.59542520769,35,137.185397696864,35,120.933008425509,0.720018233703673,0.720050791781546
"36","CIV",36,0.00332072157867296,36,146.836050277276,36,5.21326145486381,36,2.53524761409364,0.855020165851847,0.868864211718915
"37","CMR",37,0.0017136367749076,37,182.919224324155,37,5.31972471760928,37,2.15769734360832,0.971255673497471,0.95940496885338
"38","COG",38,0.00135556494200124,38,87.6413114993166,38,3.19332724674307,38,2.33501792877605,0.986766642388227,0.988725797683269
"39","COL",39,0.00236304813368613,39,459.352538898561,39,19.2645566918799,39,5.39974487884112,0.946479108573675,0.945737890050726
"40","COM",40,0.000942217178154984,40,2.85760264596126,40,1.16950019123277,40,1.39641458279672,0.905585660691955,1
"41","CPV",41,0.00122352875648921,41,0.542379336681305,41,1.15235762122544,41,1.54451705585734,1,1
"42","CRI",42,0.00254820321471686,42,92.3122951245506,42,3.66654101269458,42,3.47786100213164,0.907144599952557,0.941363823751138
"43","CUB",43,0.00116206956468588,43,80.2282968127094,43,3.68309159062187,43,3.15941344169491,0.949803704950523,0.94625026405481
"44","CYP",44,0.00237675852041888,44,58.2194990896238,44,3.1986282646153,44,6.02672379004103,0.954457140570897,0.969960921205735
"45","CZE",45,0.00313610189218391,45,189.927605160458,45,9.95256720798044,45,12.4833626373098,0.908590191918251,0.911743447122017
"46","DEU",46,0.0346467899690733,46,1730.62322562518,46,340.153139057307,46,294.272185048261,0.857334356657239,0.892321835132425
"47","DJI",47,0.000903258958447966,47,10.8554029900936,47,1.4625060312261,47,1.57785315904369,0.685958507701896,0.259009009009009
"48","DMA",48,0.00122977988871406,48,9.64386546686657,48,1.4523524766572,48,1.55448004637775,0.907522485690924,0.943302387267904
"49","DNK",49,0.00570683491115504,49,433.130120074386,49,29.6067633244332,49,35.4651165882953,0.885513347183826,0.872914506541187
"50","DOM",50,0.0020388038732487,50,94.9244079347223,50,3.6263411995888,50,3.27346539062153,0.917109326371641,0.921826973404573
"51","DZA",51,0.00133222110753451,51,50.9584837816207,51,2.20905910899809,51,1.97130442240496,0.934961690468686,0.955923238012709
