"","iso_o","pageRank_total.name","pageRank_total.wpr","close_total.name","close_total.closeness","outdegree_total.name","outdegree_total.degree","indegree_total.name","indegree_total.degree","local_clust_tt_total","local_clust_out_total"
"1","ABW",1,0.00177115037386947,1,7107.99682130479,1,180.111303830396,1,669.71914835495,0.989370561167097,0.966780177051915
"2","AFG",2,0.00252843813258852,2,12022.8327463122,2,189.862058713578,2,1464.36924311791,0.959865375915095,0.986652435836212
"3","AGO",3,0.0031620134203343,3,138638.171901244,3,7150.18948676091,3,2989.13108455196,0.986310944317449,0.991817386394167
"4","ALB",4,0.00213677240901408,4,28703.2427002988,4,486.021485651486,4,777.369161766782,0.983663834170266,0.985065393811975
"5","AND",5,0.00189745365306864,5,7903.65518163073,5,88.2546084487038,5,321.10599202704,0.989860356261191,0.938720066137078
"6","ARE",6,0.0177155283676361,6,161599.111751321,6,25479.3084071608,6,20672.2740873947,0.952263192687315,0.949532107596958
"7","ARG",7,0.00439613143903906,7,95642.6154377061,7,7947.80749764667,7,6865.95492659198,0.964539729595744,0.949978912804514
"8","ARM",8,0.00209160072474326,8,14512.9573094538,8,315.36379219728,8,668.584370195622,0.968814671548139,0.963148144589853
"9","ATG",9,0.00213999031916262,9,8180.59277025804,9,113.513233514766,9,344.57266191137,0.969247630744841,0.920399785482044
"10","AUS",10,0.01087181937441,10,183144.181416799,10,20592.6421897764,10,17313.5304832719,0.974645321297045,0.978315941997082
"11","AUT",11,0.00683995697090299,11,149311.611642697,11,13249.4596516965,11,13729.5813459624,0.977368044747581,0.972476524574505
"12","AZE",12,0.00254239664304669,12,74135.6800511809,12,3476.30066323074,12,2015.70722056498,0.982018019342908,0.98048513749313
"13","BDI",13,0.00191403627234513,13,9677.86790945454,13,88.1641745966922,13,162.942528830228,0.983690629868617,0.990333371434059
"14","BEL",14,0.0150814016010519,14,158834.106904133,14,25474.2748695929,14,26622.7887780945,0.978918117051354,0.976482691377368
"15","BEN",15,0.00241508046773467,15,9946.72594312633,15,312.467842769518,15,1183.83050281508,0.973152117536425,0.958841075702004
"16","BFA",16,0.00253532932994998,16,34476.8168481841,16,496.283091079648,16,690.342617231004,0.96832555856314,0.987729199910289
"17","BGD",17,0.00354401267448441,17,67864.6039313231,17,3467.1119012223,17,4166.43566735388,0.9823557248596,0.985579488890698
"18","BGR",18,0.00345138559819635,18,55542.7199336961,18,3143.06382490844,18,3494.28063830056,0.970316132641731,0.960685768656948
"19","BHR",19,0.00264276960555325,19,44429.7443792246,19,2295.1777643246,19,2566.93830047349,0.962195884993999,0.969215236888243
"20","BHS",20,0.0020935888627843,20,22646.3021514495,20,703.306664602881,20,1319.30277547665,0.97242409368629,0.935911973997643
"21","BIH",21,0.00251624208744008,21,24137.2022305946,21,826.275714875436,21,1252.31358226167,0.964758507877714,0.962887779111609
"22","BLR",22,0.00312996564842917,22,94975.9907724293,22,3789.7064569,22,4512.55021545639,0.977072227239809,0.970625595083948
"23","BLZ",23,0.00193557043628412,23,8014.88465865713,23,147.121571416461,23,256.536966712181,0.96370542188824,0.96493105635813
"24","BMU",24,0.00197133910410536,24,11740.8493696358,24,116.727867137179,24,584.030522985983,0.99329561935839,0.994723088097931
"25","BOL",25,0.00223475627190452,25,58306.4539985483,25,1861.55071183172,25,1344.91903772542,0.975104428594467,0.983195714055254
"26","BRA",26,0.0103749622193237,26,156474.08357116,26,19253.8717550232,26,18382.4400037561,0.95043743102254,0.947600049627721
"27","BRB",27,0.00237204337590462,27,5399.76746242849,27,134.119635651986,27,388.076063520312,0.929831293583532,0.884699494961233
"28","BRN",28,0.00200705945246316,28,63500.3699172317,28,1728.39877004162,28,1034.86421371968,0.993642608900107,0.996396092732068
"29","BTN",29,0.00159696900145489,29,13346.0355014703,29,101.52458015313,29,154.160527318088,0.999439915530716,0.999491775256649
"30","BWA",30,0.00246386574950477,30,52072.2228444,30,1304.6898561808,30,1381.94242276672,0.984674968919371,0.980839781531818
"31","CAF",31,0.0016980764418855,31,2368.44913551486,31,43.2069595738629,31,110.753573003745,0.993622181292995,0.987043785425222
"32","CAN",32,0.0187863908498439,32,209610.959618018,32,32274.4177218293,32,30018.100944448,0.982282139025927,0.987800670015262
"33","CHE",33,0.0166091812537228,33,171021.527376037,33,28237.8394751631,33,24280.9891288641,0.976152855296852,0.977307268686942
"34","CHL",34,0.00457737289088018,34,117500.757076648,34,7878.02107671121,34,7208.78296293041,0.979934972716438,0.978602064669741
"35","CHN",35,0.0591715173780429,35,254046.090797002,35,91524.3195767209,35,79528.9390647042,0.944938981881938,0.950401726446375
"36","CIV",36,0.00312001011654019,36,31097.1504435776,36,1764.31566841584,36,1705.86182946461,0.931263657835208,0.949603563502248
"37","CMR",37,0.00248761468379013,37,27296.308067178,37,945.352131652219,37,1174.25882008512,0.960880770316549,0.962011012945384
"38","COG",38,0.00259180104185252,38,69115.3524592029,38,1708.23871396102,38,1318.74092648057,0.969166587404998,0.988195243958078
"39","COL",39,0.00455531541901774,39,115593.984308505,39,6821.57109563911,39,5767.66632990492,0.955569881111884,0.944649396747122
"40","COM",40,0.00169878217304964,40,786.848693091011,40,22.5317939750924,40,82.3425882991086,0.992056574176239,0.995281701008408
"41","CPV",41,0.00173126288299883,41,3808.02019694106,41,36.8266846432949,41,191.622780202237,0.993355293338521,0.986827228423737
"42","CRI",42,0.00279223909902728,42,57322.0990558507,42,1925.7831510761,42,1911.81706824404,0.960814438440198,0.959597451058351
"43","CUB",43,0.00244524403300089,43,25842.5639315616,43,764.323713744739,43,1755.14677618323,0.953690461875542,0.960154617093753
"44","CYP",44,0.00242716614467388,44,26121.6613122696,44,807.557251098693,44,1643.88230827524,0.970271697560674,0.939643441377282
"45","CZE",45,0.0058885413181248,45,144717.247195888,45,11922.2860615111,45,11091.6154733692,0.976398975584042,0.978357490977416
"46","DEU",46,0.0385012112607663,46,240403.582153272,46,74512.8370782225,46,61647.24228047,0.969358864484254,0.971245977817062
"47","DJI",47,0.00184360215820689,47,2756.22684813698,47,48.309791873027,47,617.979579057363,0.995206968505598,0.982025107412934
"48","DMA",48,0.00197108356873463,48,1113.59099953385,48,32.6136026018671,48,86.5222786406806,0.951806238806004,0.914928447991524
"49","DNK",49,0.00561003135048178,49,106147.843382191,49,9465.91916755069,49,8719.98233906296,0.972902429751064,0.968754983948538
"50","DOM",50,0.00363128354210548,50,58891.2366055065,50,1363.54876713355,50,2272.29639055716,0.946973989375295,0.94205685890906
"51","DZA",51,0.00402348624346355,51,80719.2126320603,51,7181.0670760317,51,5640.69845766748,0.989163025271737,0.993725296683439
"52","ECU",52,0.00346483669069624,52,93946.6594028235,52,3410.79978179931,52,3085.40859832686,0.967776134313798,0.972197055650602
"53","EGY",53,0.00511379817208941,53,47005.3213780093,53,3795.69432427286,53,6914.09603524161,0.963726423948484,0.939630928015892
"54","ERI",54,0.00158648758031369,54,8739.5121333016,54,102.135011506139,54,141.430286141078,0.993183463405235,0.993880345313806
"55","ESP",55,0.0149733500946479,55,137639.291376194,55,22399.6211666719,55,23736.53835193,0.953866287205039,0.95659388629898
"56","EST",56,0.00278513901519773,56,35074.9377263206,56,1812.89395209482,56,2493.49827903085,0.965803469359674,0.956711090733419
"57","ETH",57,0.00234610825508824,57,13939.8097497419,57,456.807787705323,57,1603.90684973676,0.975125108560103,0.96599580326149
"58","FIN",58,0.00444243560170129,58,79438.602360263,58,7298.89419455444,58,7587.04010674827,0.975559013290422,0.975530071308019
"59","FJI",59,0.00202978828673219,59,9826.54885019587,59,211.929081459413,59,515.566857446988,0.963356137618536,0.890993488996731
"60","FRA",60,0.0253664716019419,60,177810.301281643,60,37237.214106192,60,41704.0437973433,0.96604218381077,0.966049819899134
"61","FSM",61,0.00157944074186064,61,1713.56164100762,61,20.3824214787979,61,43.6693502663257,0.991811866472214,0.981026313754662
"62","GAB",62,0.00260939076501399,62,38085.7568392838,62,1914.50121034306,62,912.486467884644,0.932410611015285,0.933855856036597
"63","GBR",63,0.0234337095223787,63,170931.701989263,63,35089.1942311909,63,40266.2708355279,0.968146278825547,0.969553619179937
"64","GEO",64,0.00240317331636809,64,12244.2398118432,64,542.504220822785,64,1301.44491020562,0.962974900148251,0.940772595832761
