"","iso_o","pageRank_unique.name","pageRank_unique.wpr","close_unique.name","close_unique.closeness","outdegree_unique.name","outdegree_unique.degree","indegree_unique.name","indegree_unique.degree","local_clust_tt_unique","local_clust_out_unique"
"1","ABW",1,0.00266988130051091,1,18.6974194818039,1,1.94569599992846,1,5.06401270230872,0.864873329760558,0.863493217054264
"2","AFG",2,0.0147662974760847,2,83.6992595798292,2,7.07123789341024,2,42.3338979561114,0.513013479521653,0.419057476105149
"3","AGO",3,0.00246377207430535,3,12.1593634411268,3,2.19667997516275,3,2.41969356931659,0.741032851709388,0.841654896421846
"4","ALB",4,0.00170544764560728,4,36.6955536785079,4,2.50178176484466,4,2.51369598273972,0.971064141512076,0.995706644144144
"5","AND",5,0.00191912473678855,5,35.5940433545207,5,2.10073147972074,5,3.35438674866749,0.935495194210077,0.958227430269021
"6","ARE",6,0.00485748633387007,6,101.028543035346,6,6.5722396470711,6,14.2157683792183,0.780192508725909,0.65482164317176
"7","ARG",7,0.00236202971868972,7,176.03641421431,7,8.29417238973009,7,9.74044018669836,0.949238587842553,0.954023574767348
"8","ARM",8,0.00151395649292253,8,38.2992077230063,8,2.1859223885015,8,1.89434187894712,0.984964176984679,0.983976700192916
"9","ATG",9,0.00204857396694784,9,15.2754456212634,9,1.58385458670523,9,1.99982088114426,0.85748213490532,0.942991631799163
"10","AUS",10,0.0101620995973807,10,373.463122949459,10,36.3681365698914,10,42.3557134805173,0.819223450067501,0.836874585311482
"11","AUT",11,0.00964114367151351,11,334.851641384074,11,33.386571272756,11,36.7416113465182,0.883633416860916,0.945681547213517
"12","AZE",12,0.00180605349001025,12,27.154844819233,12,2.16763235800352,12,2.84201467016135,0.838985354036842,0.890388055058714
"13","BDI",13,0.000930788081442175,13,1.21108820973765,13,1.15644979283894,13,1.39552578136223,0.543248945147679,1
"14","BEL",14,0.00882331603029498,14,419.221932086125,14,47.668520366759,14,39.5735332876256,0.835302725695183,0.845956956904987
"15","BEN",15,0.00162749735726027,15,53.1746689764028,15,2.22920239687904,15,1.8151802205185,0.904560840041808,0.936635475996745
"16","BFA",16,0.00151139571306472,16,33.73623834752,16,2.55613957363433,16,1.65285479012129,0.779650780244925,0.791323956638358
