"","iso_o","pageRank_repro.name","pageRank_repro.wpr","close_repro.name","close_repro.closeness","outdegree_repro.name","outdegree_repro.degree","indegree_repro.name","indegree_repro.degree","local_clust_tt_repro","local_clust_out_repro"
"1","ABW",1,0.00176581724455494,1,517.012057468008,1,8.82691116271028,1,28.1668368516906,0.97751621311027,0.893581885272127
"2","AFG",2,0.00306189337667357,2,351.824114832764,2,5.37275012472208,2,61.2782534140828,0.958276559070412,0.952850778440238
"3","AGO",3,0.00466963223308029,3,468.919100082467,3,8.1301980519525,3,148.983343509318,0.909450104102191,0.913028759463119
"4","ALB",4,0.00198733912905582,4,1235.24002016287,4,14.1655526376825,4,71.9350588030285,0.965647094702964,0.974324997091471
"5","AND",5,0.00161493904365324,5,1233.31210531683,5,19.1777958305804,5,52.7213301573904,0.991429603949939,0.983415144969386
"6","ARE",6,0.0163570222719242,6,10080.9288764482,6,958.794255092995,6,2037.4347628541,0.874138606087115,0.691114656997033
"7","ARG",7,0.00556304218520825,7,4664.53640146675,7,144.104781803426,7,688.15948541798,0.938481817299249,0.80900021068582
"8","ARM",8,0.00195120948177188,8,476.792581439271,8,13.4254237169373,8,35.5483850173015,0.923113309679378,0.817533810245107
"9","ATG",9,0.00184941728122339,9,154.724648212384,9,3.87979868564584,9,18.0083867564758,0.973550353945323,0.887806811354152
"10","AUS",10,0.0110789358848695,10,6612.65686606759,10,504.621938609975,10,1955.58084022465,0.900420415408148,0.823024780199452
"11","AUT",11,0.00935377667496905,11,19209.6717131226,11,1968.38404361967,11,2027.52431189464,0.925801474478136,0.900125245533723
"12","AZE",12,0.00278043169646065,12,152.506083457822,12,7.2978967357973,12,135.427916491263,0.961185562305491,0.836700698717546
"13","BDI",13,0.00208004598201404,13,35.5063282539026,13,2.43382222593503,13,17.110722366632,0.953544517280936,0.899497841186409
"14","BEL",14,0.0122927244106872,14,15977.5038040768,14,2254.01847454643,14,2591.20563656566,0.934242449113576,0.904081904865931
"15","BEN",15,0.00295721769465217,15,45.4899766185076,15,2.88264324666929,15,84.4132594045852,0.95790686958953,0.838274077050614
"16","BFA",16,0.00245476097284663,16,65.8112399479433,16,3.90710320096248,16,34.5297110988643,0.953268489983275,0.882097033276485
"17","BGD",17,0.00287044759529895,17,867.898807164924,17,16.4590434108228,17,263.701636028171,0.96383135775636,0.937969031014332
"18","BGR",18,0.00288325212896389,18,4667.16222972367,18,161.847458056525,18,307.398266601718,0.938009334531219,0.899078213611724
"19","BHR",19,0.00369312540105878,19,396.229759777457,19,15.7692846743481,19,261.067268965532,0.974057986827579,0.884328796963458
"20","BHS",20,0.00184737561377256,20,319.735717905126,20,4.72773676625829,20,64.6597235532767,0.995238476195927,0.875063741398375
"21","BIH",21,0.00273453279491594,21,1126.71584273431,21,22.3807802304863,21,124.150199897551,0.930705315003847,0.911451482279478
"22","BLR",22,0.00352331935885086,22,3826.74625489539,22,140.344522192157,22,213.799908833468,0.939714407713804,0.893815704970048
"23","BLZ",23,0.00170425672426035,23,238.425256370867,23,5.54443757240712,23,18.8858945067325,0.969516762749473,0.832134077388269
"24","BMU",24,0.00176110589328383,24,257.364110945107,24,3.90665740890631,24,45.6824592907021,0.987916573017075,0.924886365354456
"25","BOL",25,0.00299714610637897,25,222.436509303568,25,4.95959015340557,25,68.6338012418568,0.916191388416818,0.929202970159225
"26","BRA",26,0.00817984345593099,26,13690.8747236942,26,1015.98506793241,26,1597.96144449962,0.887996223784878,0.787959580012529
"27","BRB",27,0.00236191798522995,27,940.993646651764,27,14.9415733098573,27,49.8760694358071,0.955536016497779,0.87226415535756
"28","BRN",28,0.00181823625152014,28,284.134707481048,28,6.64471531634529,28,46.0224002996304,0.979914960347397,0.969909601112602
"29","BTN",29,0.00151411990873166,29,938.047281929165,29,12.148979095152,29,20.239280613922,0.995541025386906,0.993374941877148
"30","BWA",30,0.00212948454228058,30,671.949602307874,30,10.7395439351261,30,45.8574071671228,0.947983795409055,0.822389759215502
"31","CAF",31,0.00185123638447635,31,54.7827773682646,31,2.47469247612381,31,10.564605766528,0.971456673813659,0.992332292506043
"32","CAN",32,0.0160730199063523,32,25074.1350116648,32,2624.41585395358,32,4040.59972351327,0.941763456830887,0.948254537606556
"33","CHE",33,0.00918852375563945,33,17098.3013849093,33,1727.69523769196,33,1956.75435903633,0.932374323385517,0.89701539445592
"34","CHL",34,0.00407859910431338,34,1345.53997467459,34,68.1155523676506,34,534.285287143869,0.955025076800288,0.768258403988597
"35","CHN",35,0.0275459001711567,35,42417.2385886965,35,16355.3435363007,35,10723.6190225064,0.897254109843508,0.886057769411732
"36","CIV",36,0.00373078818262014,36,520.907101150422,36,9.39211952041491,36,81.9321307121373,0.964201307022945,0.811409733293404
"37","CMR",37,0.00218715752632837,37,347.18311146752,37,12.017717044038,37,62.9399930416017,0.9587386708571,0.751729377323587
"38","COG",38,0.00269722555123318,38,70.7901468405043,38,3.97585232506183,38,46.4100205401584,0.958987800586911,0.801377884666252
"39","COL",39,0.00526795465456828,39,3703.12677251818,39,144.895043830626,39,558.440664177905,0.9431373903972,0.834518744459353
"40","COM",40,0.00153104870301905,40,10.6638667969192,40,1.85075487631029,40,6.05789866757037,0.974620272166363,0.901796090861067
"41","CPV",41,0.0015252271265569,41,115.944397835567,41,2.93382305890497,41,16.004577815757,0.969521344441698,0.987312262150307
"42","CRI",42,0.00319930399767267,42,9921.41752634544,42,625.565863259067,42,474.021517440673,0.95641689193722,0.946412698620973
"43","CUB",43,0.00258074337580754,43,1104.90404837367,43,26.6445627539687,43,177.066993705429,0.94770595514665,0.816787003341998
"44","CYP",44,0.00299987174130468,44,3421.17337722702,44,92.5835175265001,44,270.023479029512,0.959622663016744,0.955827002730239
"45","CZE",45,0.00706790566118843,45,19149.5216524778,45,1700.81193916173,45,1692.59668088995,0.940596686495315,0.933789346041584
"46","DEU",46,0.0499207227330279,46,30619.9068878999,46,10834.0191658889,46,9496.2383389072,0.8670203663962,0.847551824719385
"47","DJI",47,0.00162631364925839,47,42.253041715523,47,2.70382879167648,47,32.4098903808522,0.984175331782168,0.841052237491191
"48","DMA",48,0.00186009762018317,48,989.510182519471,48,9.94727862128279,48,14.6660250748735,0.964878629938865,0.970342187396867
"49","DNK",49,0.00724244091629154,49,13476.2927249549,49,1354.24260215291,49,1329.43393563421,0.925873495988929,0.902287814992661
"50","DOM",50,0.00345055148079131,50,8083.5855921982,50,158.472706250191,50,229.015009269345,0.977762255872076,0.98674720656791
"51","DZA",51,0.00453207134276866,51,581.814787747737,51,9.81541242831001,51,486.611459023347,0.976137041220646,0.972259987504458
"52","ECU",52,0.00456962564264049,52,1358.17960368853,52,28.0790102019243,52,284.696158913194,0.93213230058493,0.85421264889046
"53","EGY",53,0.00342290120452456,53,3099.5288467544,53,77.7564145167912,53,419.437948116221,0.948050526003969,0.791440776329011
"54","ERI",54,0.00209802842456511,54,122.254348098236,54,3.13394671243968,54,15.3536103047123,0.947381437122378,0.834034274476753
"55","ESP",55,0.0149605415636104,55,15751.5578452287,55,2162.86226594549,55,3474.86326021029,0.915381710917613,0.87503495120899
"56","EST",56,0.00297815240433367,56,9414.5005129785,56,401.261388838855,56,429.718901232977,0.951092678531307,0.946153029502405
"57","ETH",57,0.00340212481898903,57,91.3825113194285,57,4.07568826671695,57,115.356140846236,0.913522025177615,0.845415273644636
"58","FIN",58,0.00744142510497275,58,15509.9196821666,58,2492.63635609933,58,1848.89312233499,0.876699726306077,0.837050878388754
"59","FJI",59,0.00221559195554444,59,203.969470030448,59,6.32539932398797,59,41.8736355323874,0.907716571388813,0.611609729576752
"60","FRA",60,0.0342465321148119,60,21384.657975662,60,5007.11020711578,60,5586.24835119529,0.880740198816357,0.848832748437113
"61","FSM",61,0.00148863265773576,61,7.85972536651213,61,1.72546488456789,61,5.40685603355226,0.977427294822931,0.868454258675079
