"","iso_o","pageRank_total.name","pageRank_total.wpr","close_total.name","close_total.closeness","outdegree_total.name","outdegree_total.degree","indegree_total.name","indegree_total.degree","local_clust_tt_total","local_clust_out_total"
"1","ABW",1,0.00169112433684285,1,1537.6817702141,1,29.0260633264873,1,363.742434194204,0.986809798498655,0.954045261654868
"2","AFG",2,0.00204440851991943,2,23731.0799393462,2,343.277468578171,2,1216.49435936374,0.960808674364401,0.981347184105371
"3","AGO",3,0.00266652869731278,3,144378.592616598,3,5738.55660251225,3,2137.43264962648,0.992622613789991,0.994831766512877
"4","ALB",4,0.00213012296991589,4,41226.0359480866,4,701.465947184807,4,1162.04107504223,0.990064477118711,0.991190924526856
"5","AND",5,0.00189582915015855,5,4038.71735741894,5,46.9019796487649,5,385.530184924473,0.995869129113641,0.987094240892017
"6","ARE",6,0.0212526004123973,6,192222.530479128,6,30341.7211398971,6,23434.8785899243,0.929984901539304,0.932268049013382
"7","ARG",7,0.00417265897529809,7,106400.803922072,7,9100.70625537454,7,7308.58146269961,0.969124001676768,0.963377921081941
"8","ARM",8,0.00228686363677986,8,45051.3781761622,8,948.76121735875,8,1523.35434953755,0.952034878444615,0.979343282199537
"9","ATG",9,0.0022818050355246,9,3980.44545493319,9,71.6296222859228,9,368.199775135124,0.980646731618595,0.905458058317105
"10","AUS",10,0.00960102782010755,10,244509.295569191,10,29566.9614085612,10,21011.6138709518,0.981406974918772,0.982438700459841
"11","AUT",11,0.00712456821487522,11,179480.816788937,11,15967.4003074436,11,16550.9124275352,0.979444658229022,0.979237893640299
"12","AZE",12,0.00236393633688499,12,117159.355800845,12,4984.64519494883,12,1824.45471251054,0.979580892044371,0.986141777385962
"13","BDI",13,0.00192973764067422,13,4631.23946388632,13,58.0222977653641,13,273.374678870052,0.978359559273524,0.979557854080257
"14","BEL",14,0.0156181470521329,14,209447.917441483,14,33441.3318554001,14,34650.8364706118,0.977929715791125,0.975582917025975
"15","BEN",15,0.00211872158185705,15,16631.3936762593,15,395.241298969383,15,941.524087615068,0.981473592835261,0.960787162919215
"16","BFA",16,0.00230950467560399,16,56281.996708573,16,797.312488581966,16,900.138743616075,0.976592351853182,0.987667747404968
"17","BGD",17,0.00449397296889678,17,105091.755292034,17,6501.87026692316,17,8496.2315648065,0.992042360765521,0.994408651274137
"18","BGR",18,0.00380338243887427,18,80762.1646662019,18,4651.01465657267,18,5251.11533549088,0.976615296019841,0.968114005963637
"19","BHR",19,0.00249455560502921,19,59136.7052266408,19,2847.91785578752,19,2217.86343499834,0.97994872752584,0.984072011814923
"20","BHS",20,0.00224659046422653,20,39876.9350481328,20,584.590680606319,20,1430.72426674305,0.990717124010689,0.987923475585481
"21","BIH",21,0.00252821140283701,21,36554.8300865066,21,1226.58358088578,21,1656.53837297677,0.96960171086968,0.973575165485528
"22","BLR",22,0.00281371435692819,22,112664.355065102,22,3975.65517506634,22,4090.01743368501,0.972146903012979,0.964081582600869
"23","BLZ",23,0.00194256764759129,23,5180.54023865333,23,106.636344813127,23,345.109041460004,0.982067167329572,0.968966621400717
