TIME_PERIOD,pageRank_repro.wpr,close_repro.closeness,outdegree_repro.degree,indegree_repro.degree,local_clust_tt_repro,local_clust_out_repro
2000,0.005291005291005251,3770.5712946795275,613.0268807901101,656.163580402827,0.942323898306315,0.8797241327201064
2001,0.005291005291005249,3688.6962588326965,567.0142763025776,608.1732349543071,0.9411344140746628,0.870565872593852
2002,0.005291005291005251,3687.9274612745126,573.4970765324995,614.5920835816506,0.9425851481944371,0.8724752915694286
2003,0.005291005291005248,4056.4934845671664,634.3522942002413,680.4023047142082,0.9420361125400899,0.8704656447984999
2004,0.005291005291005247,4648.650320430355,739.8932154193749,798.422635471235,0.9456847615703134,0.8817825137205205
2005,0.0052910052910052465,5135.294460966812,798.7744151673693,866.1228099036389,0.9485866454222174,0.8859951639985019
2006,0.005291005291005248,5925.355207002978,893.8152598879072,971.3679323094626,0.950329558436167,0.8870777432144317
2007,0.005291005291005251,6488.143889866715,970.2807578992216,1062.2666524082392,0.9520052740323127,0.8904315971296822
2008,0.005291005291005256,6904.970596943296,1014.1271674489049,1120.5038072111133,0.9494150900158302,0.8827732110839881
2009,0.0052910052910052525,6070.098936844318,867.9705677485575,959.1268965204971,0.9487791015191684,0.8794165135415154
2010,0.005291005291005249,7034.648862730852,998.312212951156,1106.3601363057394,0.9517057927860343,0.8880514043242355
2011,0.005291005291005254,7684.6894663025605,1061.2034456709782,1179.288416662332,0.9541343924761836,0.8858681338066229
2012,0.005263157894736802,7848.3522285482295,1053.7579602223745,1176.8120016466955,0.955956635288242,0.8890158643460608
2013,0.005263157894736803,8148.310737676263,1073.0860188337663,1201.5897094203222,0.9553717392437443,0.8907230149451406
2014,0.005263157894736802,8479.443696999451,1094.7863394695946,1231.6230601578593,0.9561986366321626,0.8915977366101574
2015,0.0052631578947368,8066.484187127621,1057.3386248610063,1194.6613178159857,0.9587841431181952,0.8954456171337646
2016,0.005263157894736804,7972.72522583078,1053.831140290537,1183.6922158763552,0.9607950426340267,0.8989991938687462
2017,0.005263157894736802,8602.578990343389,1136.6556934546209,1280.4378767442881,0.9613254304812571,0.9021183965399848
2018,0.005263157894736804,9324.462804012055,1209.3968231719375,1359.5311967065338,0.9617499353760385,0.9058165818449101
2019,0.005263157894736802,9307.226508817546,1192.0078965165299,1342.9855992279417,0.9625571628715178,0.9080414107121221
2020,0.005263157894736803,9231.569984343723,1192.9003307963476,1337.233995638325,0.9604185272618616,0.9048567169899973
2021,0.005263157894736799,10773.1477487754,1392.8402348741015,1565.8757578246884,0.9630203483953828,0.9078797606416057
2022,0.005263157894736803,11635.464143238829,1474.0623368753033,1660.8003686116888,0.963049065587572,0.9120989538235618
2023,0.005263157894736801,11681.870047095215,1458.5974813924042,1641.7034104616102,0.964982511286236,0.9164001289638417
