country,iso_o,year,gdp_pc,trade_ratio,log_gdp_pc,D_log_gdp_pc,landlocked,continent,lat,lon,langoff_1,colonizer1,category,development
Aruba,ABW,2000,37524.031,145.07001,10.532737,0.063155174,0,America,12.55,-70.099998,Dutch,NLD,Emerging and Developing Economies,0.0
Afghanistan,AFG,2000,1617.83,76.333534,7.3888412,-2.3625388,1,Asia,34.516666,69.199997,Persian,,Emerging and Developing Economies,0.0
Angola,AGO,2000,6796.4102,76.333534,8.8241501,-0.003033638,0,Africa,-8.833333,13.25,Portuguese,PRT,Emerging and Developing Economies,0.0
Albania,ALB,2000,6582.02,61.610001,8.7920971,0.078349113,0,Europe,41.333332,19.816668,Albanian,TUR,Emerging and Developing Economies,0.0
Andorra,AND,2000,54809.141,76.333534,10.911613,0.035056114,0,Europe,42.5,1.5,Catalan,,Advanced Economies,1.0
United Arab Emirates,ARE,2000,95390.703,76.333534,11.465736,0.035675049,0,Asia,24.466667,54.416668,Arabic,GBR,Emerging and Developing Economies,0.0
Argentina,ARG,2000,22281.381,22.620001,10.011507,-0.019251823,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
Armenia,ARM,2000,4589.0098,72.230003,8.4314194,0.040476799,1,Asia,40.183334,44.5,Armenian,TUR,Emerging and Developing Economies,0.0
Antigua and Barbuda,ATG,2000,25547.609,76.333534,10.148299,0.04341507,0,America,17.133333,-61.833332,English,GBR,Emerging and Developing Economies,0.0
Australia,AUS,2000,45099.078,40.860001,10.716617,0.026968002,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
Austria,AUT,2000,53534.34,85.839996,10.888079,0.028992653,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
Azerbaijan,AZE,2000,5656.9302,78.550003,8.6406364,0.097044945,1,Asia,40.366665,49.883335,Azeri,RUS,Emerging and Developing Economies,0.0
Burundi,BDI,2000,1033.47,76.333534,6.9406772,-0.029386044,1,Africa,-3.3666666,29.316668,French,BEL,Emerging and Developing Economies,0.0
Belgium,BEL,2000,50455.73,142.23,10.828852,0.034068108,0,Europe,50.833332,4.3499999,Dutch,,Advanced Economies,1.0
Benin,BEN,2000,2536.1699,47.349998,7.8384104,0.026157856,0,Africa,6.5,2.7833333,French,FRA,Emerging and Developing Economies,0.0
Burkina Faso,BFA,2000,1428.5699,35.119999,7.2644291,-0.011137962,1,Africa,12.333333,-1.6666666,French,FRA,Emerging and Developing Economies,0.0
Bangladesh,BGD,2000,2712.9399,29.32,7.9057879,0.033306122,0,Asia,23.700001,90.366669,Bengali,GBR,Emerging and Developing Economies,0.0
Bulgaria,BGR,2000,12563.89,77.75,9.4385824,0.049790382,0,Europe,42.666668,23.299999,Bulgarian,TUR,Emerging and Developing Economies,0.0
Bahrain,BHR,2000,57969.0,135.81,10.967664,0.025274277,0,Asia,26.200001,50.633335,Arabic,GBR,Emerging and Developing Economies,0.0
"Bahamas, The",BHS,2000,34597.16,79.639999,10.451527,0.027526855,0,America,25.083334,-77.333336,English,GBR,Emerging and Developing Economies,0.0
Bosnia and Herzegovina,BIH,2000,7830.5298,85.360001,8.965785,0.045618057,0,Europe,43.866665,18.433332,Serbo-Croatian,TUR,Emerging and Developing Economies,0.0
Belarus,BLR,2000,11182.45,141.61,9.3221006,0.061090469,0,Europe,53.849998,27.5,Belarussian,RUS,Emerging and Developing Economies,0.0
Belize,BLZ,2000,11363.69,96.599998,9.3381786,0.08280468,0,America,17.216667,-88.800003,English,GBR,Emerging and Developing Economies,0.0
Bermuda,BMU,2000,98019.93,76.333534,11.492926,0.082137108,0,America,32.299999,-64.800003,English,GBR,,1.0
Bolivia,BOL,2000,7492.4302,45.599998,8.921648,0.0075960159,1,America,-16.5,-68.166664,Spanish,ESP,Emerging and Developing Economies,0.0
Brazil,BRA,2000,14005.35,22.639999,9.5471945,0.029191971,0,America,-15.78,-47.91,Portuguese,PRT,Emerging and Developing Economies,0.0
Barbados,BRB,2000,21779.221,76.333534,9.9887114,0.04524231,0,America,13.1,-59.616665,English,GBR,Emerging and Developing Economies,0.0
Brunei Darussalam,BRN,2000,100323.44,87.059998,11.516154,0.01243782,0,Asia,4.9333334,114.96667,Malay,GBR,Emerging and Developing Economies,0.0
Bhutan,BTN,2000,5287.5698,74.029999,8.5731144,0.0087757111,1,Asia,27.533333,89.75,Burmese,,Emerging and Developing Economies,0.0
Botswana,BWA,2000,13185.82,91.919998,9.4868975,-0.0016393661,1,Africa,-24.75,25.916666,English,GBR,Emerging and Developing Economies,0.0
Central African Republic,CAF,2000,1245.8101,45.66,7.1275411,-0.052711487,1,Africa,4.3833332,18.616667,French,FRA,Emerging and Developing Economies,0.0
