country,iso_o,year,gdp_pc,trade_ratio,log_gdp_pc,D_log_gdp_pc,landlocked,continent,lat,lon,langoff_1,colonizer1,category,development
Aruba,ABW,2022,38979.84,160.63,10.5708,0.10470676,0,America,12.55,-70.099998,Dutch,NLD,Emerging and Developing Economies,0.0
Afghanistan,AFG,2022,1981.71,72.889999,7.5917153,-0.078792572,1,Asia,34.516666,69.199997,Persian,,Emerging and Developing Economies,0.0
Angola,AGO,2022,8950.1396,55.25,9.0994244,0.0098648071,0,Africa,-8.833333,13.25,Portuguese,PRT,Emerging and Developing Economies,0.0
Albania,ALB,2022,19388.869,84.699997,9.8724546,0.062570572,0,Europe,41.333332,19.816668,Albanian,TUR,Emerging and Developing Economies,0.0
Andorra,AND,2022,63913.379,94.732063,11.065284,0.074376106,0,Europe,42.5,1.5,Catalan,,Advanced Economies,1.0
United Arab Emirates,ARE,2022,70075.633,185.74001,11.157331,0.021572113,0,Asia,24.466667,54.416668,Arabic,GBR,Emerging and Developing Economies,0.0
Argentina,ARG,2022,27825.029,31.58,10.233691,0.05635643,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
Armenia,ARM,2022,17886.18,103.88,9.7917833,0.11634445,1,Asia,40.183334,44.5,Armenian,TUR,Emerging and Developing Economies,0.0
Antigua and Barbuda,ATG,2022,27941.789,117.7,10.237879,0.081863403,0,America,17.133333,-61.833332,English,GBR,Emerging and Developing Economies,0.0
Australia,AUS,2022,60029.129,45.689999,11.002585,0.028758049,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
Austria,AUT,2022,65694.547,123.58,11.092772,0.042374611,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
Azerbaijan,AZE,2022,21051.24,86.980003,9.9547148,0.04567337,1,Asia,40.366665,49.883335,Azeri,RUS,Emerging and Developing Economies,0.0
Burundi,BDI,2022,1031.25,94.732063,6.9385271,-0.0041513443,1,Africa,-3.3666666,29.316668,French,BEL,Emerging and Developing Economies,0.0
Belgium,BEL,2022,62561.781,191.17999,11.04391,0.030718803,0,Europe,50.833332,4.3499999,Dutch,,Advanced Economies,1.0
Benin,BEN,2022,3588.3301,44.380001,8.185442,0.035179138,0,Africa,6.5,2.7833333,French,FRA,Emerging and Developing Economies,0.0
Burkina Faso,BFA,2022,2469.2,67.519997,7.8116493,-0.0069537163,1,Africa,12.333333,-1.6666666,French,FRA,Emerging and Developing Economies,0.0
Bangladesh,BGD,2022,7888.1602,33.779999,8.9731178,0.058347702,0,Asia,23.700001,90.366669,Bengali,GBR,Emerging and Developing Economies,0.0
Bulgaria,BGR,2022,32433.789,138.84,10.386956,0.046533585,0,Europe,42.666668,23.299999,Bulgarian,TUR,Emerging and Developing Economies,0.0
Bahrain,BHR,2022,57573.0,167.14,10.960809,0.046545029,0,Asia,26.200001,50.633335,Arabic,GBR,Emerging and Developing Economies,0.0
"Bahamas, The",BHS,2022,34342.93,75.980003,10.444152,0.10032558,0,America,25.083334,-77.333336,English,GBR,Emerging and Developing Economies,0.0
Bosnia and Herzegovina,BIH,2022,19298.199,110.21,9.8677673,0.053835869,0,Europe,43.866665,18.433332,Serbo-Croatian,TUR,Emerging and Developing Economies,0.0
Belarus,BLR,2022,26537.51,120.02,10.186315,-0.039661407,0,Europe,53.849998,27.5,Belarussian,RUS,Emerging and Developing Economies,0.0
Belize,BLZ,2022,12565.36,107.84,9.4386988,0.069959641,0,America,17.216667,-88.800003,English,GBR,Emerging and Developing Economies,0.0
Bermuda,BMU,2022,98145.172,75.199997,11.494203,0.061189651,0,America,32.299999,-64.800003,English,GBR,,1.0
Bolivia,BOL,2022,11487.71,57.52,9.3490334,0.025146484,1,America,-16.5,-68.166664,Spanish,ESP,Emerging and Developing Economies,0.0
Brazil,BRA,2022,18554.051,38.82,9.8284435,0.026119232,0,America,-15.78,-47.91,Portuguese,PRT,Emerging and Developing Economies,0.0
Barbados,BRB,2022,20716.289,94.732063,9.9386759,0.15833187,0,America,13.1,-59.616665,English,GBR,Emerging and Developing Economies,0.0
Brunei Darussalam,BRN,2022,76357.828,146.97,11.243186,-0.0244627,0,Asia,4.9333334,114.96667,Malay,GBR,Emerging and Developing Economies,0.0
Bhutan,BTN,2022,14061.31,85.57,9.5511827,0.043793678,1,Asia,27.533333,89.75,Burmese,,Emerging and Developing Economies,0.0
Botswana,BWA,2022,18647.369,85.610001,9.8334608,0.03752327,1,Africa,-24.75,25.916666,English,GBR,Emerging and Developing Economies,0.0
Central African Republic,CAF,2022,1136.8,45.23,7.0359726,0.0072836876,1,Africa,4.3833332,18.616667,French,FRA,Emerging and Developing Economies,0.0
Canada,CAN,2022,58321.059,67.32,10.973719,0.022997856,0,America,45.419998,-75.709999,English,GBR,Advanced Economies,1.0
Switzerland,CHE,2022,82777.289,138.5,11.323909,0.021686554,1,Europe,46.950001,7.4333334,German,,Advanced Economies,1.0
Chile,CHL,2022,29569.48,75.199997,10.294498,0.016353607,0,America,-33.5,-70.666664,Spanish,ESP,Emerging and Developing Economies,0.0
China,CHN,2022,21499.381,37.439999,9.9757795,0.030991554,0,Asia,39.916668,116.43333,Chinese,,Emerging and Developing Economies,0.0
Cote d'Ivoire,CIV,2022,6272.2598,52.869999,8.7438917,0.03687191,0,Africa,5.3166666,-4.0166669,French,FRA,Emerging and Developing Economies,0.0
Cameroon,CMR,2022,4843.6499,41.290001,8.485424,0.01039505,0,Africa,3.8499999,11.516666,French,FRA,Emerging and Developing Economies,0.0
"Congo, Rep.",COG,2022,6205.1099,98.160004,8.7331285,-0.0093193054,0,Africa,-4.2333331,15.233334,French,FRA,Emerging and Developing Economies,0.0
Colombia,COL,2022,18458.721,48.279999,9.8232918,0.060038567,0,America,4.6333332,-75.066666,Spanish,ESP,Emerging and Developing Economies,0.0
Comoros,COM,2022,3399.28,50.389999,8.131319,0.0063123703,0,Africa,-11.666667,43.266666,Arabic,FRA,Emerging and Developing Economies,0.0
