"","iso_o","pageRank_unique.name","pageRank_unique.wpr","close_unique.name","close_unique.closeness","outdegree_unique.name","outdegree_unique.degree","indegree_unique.name","indegree_unique.degree","local_clust_tt_unique","local_clust_out_unique"
"1","ABW",1,0.00262052232076417,1,12.6708978515564,1,1.88346922745651,1,3.93694830071896,0.873254984724126,0.751023573200993
"2","AFG",2,0.0111961130463929,2,123.934269312762,2,8.13208459211246,2,34.3977500520833,0.439565420722558,0.630124391834278
"3","AGO",3,0.00102162229217856,3,15.1419929345015,3,2.11814665476068,3,1.98765913647524,0.815546440369902,0.875848183144144
"4","ALB",4,0.00170439004846839,4,24.0799926991878,4,1.83350373064485,4,1.96474915212367,0.970468384883681,0.998263680996287
"5","AND",5,0.00203096010300496,5,27.6882321162771,5,1.76709671474697,5,3.14992656540933,0.949538710030661,1
"6","ARE",6,0.0042355504688261,6,128.184200410514,6,11.8530017832294,6,11.3307457220739,0.644127018615873,0.484862079720949
"7","ARG",7,0.00234316086810035,7,162.150034286706,7,9.12270001879347,7,5.2250925065446,0.95269192186977,0.964931168451024
"8","ARM",8,0.00112928393699723,8,42.6172449949695,8,2.7595430144477,8,1.75667504421303,0.889254687525278,0.915049125329499
"9","ATG",9,0.00193911993530901,9,7.64805004481265,9,1.52345085276638,9,1.96512819698101,0.921580355737447,0.815294117647059
"10","AUS",10,0.00972103335563368,10,313.663189258672,10,31.1547260519412,10,30.2943256719223,0.794804993187979,0.83139310022614
"11","AUT",11,0.0085493299793681,11,263.19679537195,11,29.1216192065541,11,26.4025707485959,0.84868712442915,0.914927348042641
"12","AZE",12,0.00152790379126615,12,27.5342083286813,12,2.24163669562864,12,1.7988126254703,0.972540507798698,0.975771063189569
"13","BDI",13,0.000885369841696028,13,4.07887578129567,13,1.27671616659237,13,1.32960322828458,0.900233372228705,1
"14","BEL",14,0.0109742290127525,14,401.013762132702,14,45.017632982424,14,33.0786643909939,0.8260442521788,0.872168081536644
"15","BEN",15,0.00126661344112068,15,8.35222016238767,15,1.64763142105444,15,1.7733378085488,0.835112692763938,1
"16","BFA",16,0.00131605562528754,16,28.7199520773584,16,2.58379367110181,16,1.69396750668613,0.785857996276791,0.816787442973183
"17","BGD",17,0.00168293676857337,17,6.18598775173061,17,1.76371384696329,17,2.07909746648885,0.824851890435752,0.7884367756889
"18","BGR",18,0.00233485267992979,18,52.0674419657409,18,3.06385076584845,18,2.9819555297842,0.893223309987231,0.980980424350757
"19","BHR",19,0.00238631536062892,19,12.4234448378352,19,1.83461400926963,19,3.14896867688301,0.813018824687218,0.712566682832202
"20","BHS",20,0.00745982885185964,20,360.554513286078,20,29.0626157062,20,39.9574110620043,0.932592049057852,0.909686851380281
