"","est_t","lci_t","odds_t","uci_t","pvals_t","model_terms","NA","NA","NA","NA"
"1",-1.63733221228297,0.064714891093978,0,-25.3007025833553,3.13786568123447e-141,0.1713,0.1945,0.2208,3.13786568123447e-141,"Form(1)~edges"
"2",0.145689196163012,0.0235660062979024,0,6.18217589867909,6.32240202786779e-10,1.1046,1.1568,1.2115,6.32240202786779e-10,"Form(1)~nodecov.D_log_gdp_pct"
"3",-0.164823435270345,0.029878833313947,0,-5.51639461750361,3.46024818206369e-08,0.7998,0.848,0.8992,3.46024818206369e-08,"Form(1)~absdiff.D_log_gdp_pct"
"4",-0.0377335299128971,0.0189318249382601,0,-1.99312691914026,0.0462475509876953,0.9279,0.963,0.9994,0.0462475509876953,"Form(1)~mix.development.1.0"
"5",0.186242009813971,0.0172106479521326,0,10.8213247015428,2.72805458700983e-27,1.1648,1.2047,1.246,2.72805458700983e-27,"Form(1)~mix.development.0.1"
"6",-0.0519338217999244,0.0535590535342272,0,-0.969655331320145,0.332218322777938,0.8548,0.9494,1.0545,0.332218322777938,"Form(1)~mix.development.1.1"
"7",0.480534314762801,0.018365372675942,0,26.165236243329,6.61193809048019e-151,1.5598,1.6169,1.6762,6.61193809048019e-151,"Form(1)~edgecov.net_dynamic_rta"
"8",0.00421204128516674,0.0108005988344655,0,0.38998219910972,0.696549709937602,0.9832,1.0042,1.0257,0.696549709937602,"Form(1)~nodematch.landlocked"
"9",-0.0463801025403462,0.00722830468157785,0,-6.41645649754515,1.39482783177945e-10,0.9413,0.9547,0.9683,1.39482783177945e-10,"Form(1)~edgecov.log_dist"
"10",-0.350556904438558,0.132648043557985,0,-2.64275970482232,0.00822333733568277,0.5431,0.7043,0.9134,0.00822333733568277,"Form(1)~edgecov.contig_mat"
"11",0.709388325528835,0.259312861386996,0,2.73564651492603,0.00622578639293412,1.2229,2.0327,3.379,0.00622578639293412,"Form(1)~edgecov.colony"
"12",0.00914598195242563,0.0180093947264436,0,0.507845049283992,0.611562014010576,0.9742,1.0092,1.0454,0.611562014010576,"Form(1)~edgecov.col_mat"
"13",0.0202759237860154,0.0162199362670897,0,1.25006186535734,0.211276948905653,0.9886,1.0205,1.0534,0.211276948905653,"Form(1)~edgecov.lang_mat"
"14",1.18510641166298,0.0124722352256784,0,95.0195686834889,0,3.192,3.271,3.352,0,"Form(1)~mutual"
"15",1.01728480492985,0.0643338932164279,0,15.8125795606301,2.54816043254043e-56,2.4382,2.7657,3.1371,2.54816043254043e-56,"Persist(1)~edges"
"16",0.0142333008288444,0.0228404886850425,0,0.623160958818074,0.533178754418336,0.97,1.0143,1.0607,0.533178754418336,"Persist(1)~nodecov.D_log_gdp_pct"
"17",-0.0486462736679896,0.0318478273000166,0,-1.52745972934751,0.126646733714916,0.8949,0.9525,1.0138,0.126646733714916,"Persist(1)~absdiff.D_log_gdp_pct"
"18",0.939288984384294,0.0176463630865009,0,53.228474319608,0,2.4713,2.5582,2.6481,0,"Persist(1)~mix.development.1.0"
"19",0.464784963006035,0.0164494788433056,0,28.255300209416,1.225164639805e-175,1.5412,1.5917,1.6438,1.225164639805e-175,"Persist(1)~mix.development.0.1"
"20",1.25887132435575,0.0463080023129575,0,27.1847469439099,9.83887079450482e-163,3.2161,3.5214,3.8558,9.83887079450482e-163,"Persist(1)~mix.development.1.1"
"21",0.747332170036137,0.0168852331664657,0,44.2595114126319,0,2.0427,2.1114,2.1824,0,"Persist(1)~edgecov.net_dynamic_rta"
"22",0.179118110978011,0.0107531969887988,0,16.6571961031302,2.68311624894022e-62,1.1712,1.1962,1.2216,2.68311624894022e-62,"Persist(1)~nodematch.landlocked"
"23",-0.0227952578900865,0.00719265258825758,0,-3.1692421690575,0.00152836992726154,0.9638,0.9775,0.9913,0.00152836992726154,"Persist(1)~edgecov.log_dist"
"24",1.72432708510267,0.125510305235594,0,13.7385299307969,5.96751947146686e-43,4.3863,5.6087,7.1718,5.96751947146686e-43,"Persist(1)~edgecov.contig_mat"
"25",2.17397180963582,0.214645215513106,0,10.1282099600449,4.14161680244717e-24,5.7751,8.7931,13.3884,4.14161680244717e-24,"Persist(1)~edgecov.colony"
"26",-0.0917162896126365,0.0172237852492525,0,-5.32497870156718,1.00964869073241e-07,0.8821,0.9124,0.9437,1.00964869073241e-07,"Persist(1)~edgecov.col_mat"
"27",-0.0576375279292719,0.0156169373418383,0,-3.69070622924631,0.000223632293914732,0.9156,0.944,0.9733,0.000223632293914732,"Persist(1)~edgecov.lang_mat"
"28",1.8505800661394,0.0121742866819959,0,152.007268637444,0,6.2135,6.3635,6.5171,0,"Persist(1)~mutual"
