iso_o,iso_d,contig,comlang_off,colony,comcol,dist,iso2,country,landlocked,continent,lat,lon,langoff_1,colonizer1
ABW,CMR,0,0,0,0,9014.291,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,COG,0,0,0,0,9613.9014,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,COK,0,0,0,0,10484.673,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,COL,0,1,0,0,1036.6342,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,COM,0,0,0,0,12802.653,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,CPV,0,0,0,0,5036.3857,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,CRI,0,1,0,0,1550.7723,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,CUB,0,1,0,0,1754.7382,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,CXR,0,0,0,0,19519.52,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,CYM,0,0,0,0,1421.3784,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,CYP,0,0,0,0,10403.22,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,CZE,0,0,0,0,8560.8994,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,DEU,0,0,0,0,8034.3892,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,DJI,0,0,0,0,12186.874,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,DMA,0,0,0,0,989.98834,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,DNK,0,0,0,0,8408.5898,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,DOM,0,1,0,0,663.0993,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,DZA,0,0,0,0,7686.4067,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,ECU,0,1,0,0,1698.3993,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,EGY,0,0,0,0,10383.609,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,ERI,0,0,0,0,11620.09,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,ESH,0,0,0,0,6124.0127,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,ESP,0,1,0,0,7121.5244,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,EST,0,0,0,0,9088.5117,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,ETH,0,0,0,0,11817.333,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,FIN,0,0,0,0,9087.5635,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,FJI,0,0,0,0,12692.412,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,FLK,0,0,0,0,7248.1436,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,FRA,0,0,0,0,7685.8838,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,FRO,0,0,0,0,7410.5073,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,FSM,0,0,0,0,14263.712,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GAB,0,0,0,0,8868.9268,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GBR,0,0,0,0,7541.2427,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GEO,0,0,0,0,11056.94,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GHA,0,0,0,0,7697.9443,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GIB,0,1,0,0,6937.0156,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GIN,0,0,0,0,5940.8125,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GLP,0,0,0,0,980.5495,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GMB,0,0,0,0,5785.5024,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GNB,0,0,0,0,5912.7358,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GNQ,0,1,0,0,8721.6025,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GRC,0,0,0,0,9491.1572,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GRD,0,0,0,0,911.34802,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GRL,0,0,0,0,5921.0059,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GTM,0,1,0,0,2220.0676,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GUF,0,0,0,0,2128.7905,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,GUY,0,0,0,0,1458.4059,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,HKG,0,0,0,0,16131.13,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,HND,0,1,0,0,1863.0504,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,HRV,0,0,0,0,8716.8682,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,HTI,0,0,0,0,709.38782,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,HUN,0,0,0,0,8927.6357,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,IDN,0,0,0,1,19240.393,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,IND,0,0,0,0,14258.173,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,IRL,0,0,0,0,7174.0166,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,IRN,0,0,0,0,11880.18,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,IRQ,0,0,0,0,11426.339,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,ISL,0,0,0,0,6827.2202,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,ISR,0,0,0,0,10635.04,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,ITA,0,0,0,0,8480.1328,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,JAM,0,0,0,0,938.35114,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,JOR,0,0,0,0,10744.009,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,JPN,0,0,0,0,13815.841,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,KAZ,0,0,0,0,12977.214,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,KEN,0,0,0,0,11887.174,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,KGZ,0,0,0,0,12891.457,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,KHM,0,0,0,0,17292.002,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,KIR,0,0,0,0,12879.521,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,KNA,0,0,0,0,952.67194,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,KOR,0,0,0,0,14183.604,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,KWT,0,0,0,0,11922.281,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,LAO,0,0,0,0,16543.053,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,LBN,0,0,0,0,10635.638,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,LBR,0,0,0,0,6538.7207,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,LBY,0,0,0,0,8638.4834,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,LCA,0,0,0,0,1000.8457,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,LKA,0,0,0,0,16067.563,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,LSO,0,0,0,0,11423.006,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,LTU,0,0,0,0,9223.9092,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,LUX,0,0,0,0,7967.7109,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,LVA,0,0,0,0,9100.9482,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MAC,0,0,0,0,16137.888,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MAR,0,0,0,0,6782.7393,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MDA,0,0,0,0,9662.5479,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MDG,0,0,0,0,13342.618,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MDV,0,0,0,0,15595.964,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MEX,0,1,0,0,3197.7773,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MHL,0,0,0,0,12908.488,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MKD,0,0,0,0,9214.0879,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MLI,0,0,0,0,6729.1143,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MLT,0,0,0,0,8723.9805,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MMR,0,0,0,0,16436.57,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MNG,0,0,0,0,13299.098,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MNP,0,0,0,0,15020.247,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MOZ,0,0,0,0,11878.692,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MRT,0,0,0,0,5824.1143,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MSR,0,0,0,0,966.2597,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MTQ,0,0,0,0,1001.7257,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MUS,0,0,0,0,14395.813,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MWI,0,0,0,0,11828.456,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MYS,0,0,0,0,18066.889,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,NAM,0,0,0,0,10267.962,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,NCL,0,0,0,0,13964.526,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,NER,0,0,0,0,7796.3892,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,NFK,0,0,0,0,13783.122,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,NGA,0,0,0,0,8081.917,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,NIC,0,1,0,0,1761.9291,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,NIU,0,0,0,0,11484.714,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,NLD,0,1,1,0,7896.8965,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,NOR,0,0,0,0,8301.125,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,NPL,0,0,0,0,14828.1,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,NRU,0,0,0,0,13604.612,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,NZL,0,0,0,0,12981.523,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
